"산업분류별","규모별","항목","단위","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월",
"전체","전규모(1인이상)","전체근로일수[일]","일","21.2","17.1","19.7","21.1","20.5","19","21.6","19.8","18.6","20.2","20.4","20.2",
"전체","전규모(1인이상)","상용근로일수[일]","일","21.9","17.6","20.4","22","21.3","19.7","22.5","20.5","19.2","21","21.1","20.9",
"전체","전규모(1인이상)","임시일용근로일수[일]","일","14.1","12.1","13.1","13.5","13.3","13.1","13.7","13.6","13","13.1","13.4","13.2",
"전체","전규모(1인이상)","전체근로시간[시간]","시간","173.1","140.4","161.3","172.6","167.6","155.4","176.5","161.9","152.1","165.4","166.4","164.7",
"전체","전규모(1인이상)","상용총근로시간[시간]","시간","180.2","145.5","168.5","181.1","175.7","162.3","184.7","168.8","158.3","172.9","173.8","172.1",
"전체","전규모(1인이상)","상용소정실근로시간[시간]","시간","171.1","137","159.1","171.9","166.2","152.9","175.8","159.9","149.6","163.5","164.9","163.2",
"전체","전규모(1인이상)","상용초과근로시간[시간]","시간","9","8.5","9.4","9.1","9.6","9.4","8.9","8.9","8.7","9.5","8.9","8.9",
"전체","전규모(1인이상)","임시일용근로시간[시간]","시간","103.2","88","94.5","96.8","95.9","93.9","99","98","93.4","95","97.5","96.4",
"전체","전규모(1인이상)","전체임금총액[원]","원","3940764","3644108","3396664","3304599","3247215","3329311","3483591","3374106","3745193","3322895","3220069","3885631",
"전체","전규모(1인이상)","상용임금총액[원]","원","4185199","3865694","3601093","3504309","3443958","3530858","3692786","3573645","3980035","3514387","3399827","4133827",
"전체","전규모(1인이상)","상용정액급여[원]","원","3049890","2961661","3001445","2985480","2986971","3000800","3028696","2989121","2987172","2986261","2982374","3163052",
"전체","전규모(1인이상)","상용초과급여[원]","원","191763","188863","204425","201973","212744","210160","198287","199325","198309","212610","202574","203748",
"전체","전규모(1인이상)","상용특별급여[원]","원","943545","715170","395224","316857","244244","319898","465803","385199","794554","315516","214879","767027",
"전체","전규모(1인이상)","임시일용임금총액[원]","원","1535573","1387978","1494296","1515018","1504631","1526730","1516080","1523742","1529601","1533630","1552133","1575707",
"전체"," -5인이상","전체근로일수[일]","일","21.1","17","19.6","21.1","20.4","18.9","21.6","19.7","18.5","20.2","20.3","20.1",
"전체"," -5인이상","상용근로일수[일]","일","21.7","17.4","20.2","21.8","21.1","19.5","22.3","20.2","19","20.8","20.9","20.7",
"전체"," -5인이상","임시일용근로일수[일]","일","14.4","12.2","13.1","13.5","13.3","13.1","13.8","13.7","13","13.3","13.5","13.6",
"전체"," -5인이상","전체근로시간[시간]","시간","174.7","141.7","162.8","174.6","169.5","156.9","178.5","163.3","154","167.3","168.1","166.5",
"전체"," -5인이상","상용총근로시간[시간]","시간","180.4","145.8","168.9","181.8","176.4","162.7","185.2","168.8","159","173.5","174.2","172.4",
"전체"," -5인이상","상용소정실근로시간[시간]","시간","169.6","135.6","157.8","170.9","165","151.5","174.6","158.2","148.7","162.2","163.6","161.8",
"전체"," -5인이상","상용초과근로시간[시간]","시간","10.8","10.1","11.2","10.9","11.4","11.2","10.6","10.6","10.3","11.3","10.7","10.6",
"전체"," -5인이상","임시일용근로시간[시간]","시간","109.6","93.4","98","100.3","98.9","96.6","104.1","103.4","98.4","100.1","102.6","102.7",
"전체"," -5인이상","전체임금총액[원]","원","4356370","4001812","3708483","3597555","3531010","3628311","3808555","3678174","4103576","3623938","3497537","4300366",
"전체"," -5인이상","상용임금총액[원]","원","4584093","4205077","3901450","3779620","3710616","3813724","3996330","3856594","4316968","3795690","3659417","4529485",
"전체"," -5인이상","상용정액급여[원]","원","3244022","3139925","3186557","3164630","3167435","3183417","3214134","3168037","3165284","3164602","3160353","3377048",
"전체"," -5인이상","상용초과급여[원]","원","228923","225412","244904","241140","253690","250689","236402","237664","236038","253431","241559","242478",
"전체"," -5인이상","상용특별급여[원]","원","1111147","839740","469988","373851","289491","379619","545794","450893","915645","377657","257504","909959",
"전체"," -5인이상","임시일용임금총액[원]","원","1751423","1590100","1674714","1711158","1695434","1709283","1724064","1742688","1752508","1760807","1768488","1821331",
"전체"," -10인이상","전체근로일수[일]","일","21.1","17","19.6","21.1","20.5","18.9","21.6","19.7","18.5","20.2","20.3","20.1",
"전체"," -10인이상","상용근로일수[일]","일","21.6","17.3","20.1","21.7","21","19.4","22.2","20.1","18.9","20.7","20.8","20.5",
"전체"," -10인이상","임시일용근로일수[일]","일","15","12.9","13.5","13.9","13.7","13.4","14.4","14.3","13.5","13.7","14.1","14.3",
"전체"," -10인이상","전체근로시간[시간]","시간","176.2","143.2","164.3","176.4","171.1","158.5","180.4","164.5","155.4","168.8","169.7","168",
"전체"," -10인이상","상용총근로시간[시간]","시간","180.5","146.1","169.3","182.2","176.7","163.1","185.6","168.6","159.2","173.6","174.3","172.3",
"전체"," -10인이상","상용소정실근로시간[시간]","시간","168.4","134.7","156.7","169.9","163.9","150.5","173.7","156.7","147.6","160.9","162.3","160.4",
"전체"," -10인이상","상용초과근로시간[시간]","시간","12.1","11.4","12.6","12.2","12.8","12.6","11.9","12","11.6","12.7","12","11.9",
"전체"," -10인이상","임시일용근로시간[시간]","시간","117.5","101","102.5","105.7","104.4","101.9","111.5","110.9","105.4","106.8","110.2","111.8",
"전체"," -10인이상","전체임금총액[원]","원","4667988","4251922","3923561","3791933","3711950","3829193","4018829","3879213","4347110","3828038","3680005","4584485",
"전체"," -10인이상","상용임금총액[원]","원","4872101","4429997","4101184","3954080","3871677","3995647","4181761","4033192","4536214","3977757","3819492","4785195",
"전체"," -10인이상","상용정액급여[원]","원","3350164","3233875","3288211","3258384","3262623","3278148","3314767","3263447","3259760","3259140","3255263","3494952",
"전체"," -10인이상","상용초과급여[원]","원","261558","257277","280308","275489","289622","287094","269790","271217","269002","289501","275830","276484",
"전체"," -10인이상","상용특별급여[원]","원","1260380","938846","532665","420206","319433","430405","597204","498528","1007452","429115","288398","1013759",
"전체"," -10인이상","임시일용임금총액[원]","원","1857002","1696752","1743344","1818515","1799524","1810975","1842758","1870442","1877579","1882878","1887016","1965239",
"전체"," -30인이상","전체근로일수[일]","일","21.1","17.1","19.7","21.2","20.5","19","21.7","19.7","18.6","20.2","20.3","20.1",
"전체"," -30인이상","상용근로일수[일]","일","21.4","17.2","20","21.6","20.9","19.3","22","19.9","18.8","20.5","20.6","20.3",
"전체"," -30인이상","임시일용근로일수[일]","일","16","13.9","14","14.9","14.3","14.1","15.9","15.5","14.4","15.2","15.2","15.1",
"전체"," -30인이상","전체근로시간[시간]","시간","177.1","144.2","165.3","177.5","172.2","159.8","181.9","165.6","156.4","170","170.8","168.2",
"전체"," -30인이상","상용총근로시간[시간]","시간","179.8","146","169.1","181.6","176.4","163.2","185","168","158.8","172.7","173.6","171.1",
"전체"," -30인이상","상용소정실근로시간[시간]","시간","166.1","133.2","155.1","168.1","162.1","149","171.8","154.7","145.8","158.6","160.4","158.1",
"전체"," -30인이상","상용초과근로시간[시간]","시간","13.7","12.8","14","13.5","14.3","14.1","13.2","13.3","12.9","14.1","13.2","13",
"전체"," -30인이상","임시일용근로시간[시간]","시간","126.8","110.4","105.7","111.9","106.7","106.3","124.2","121.6","112.8","119.4","120.2","118.9",
"전체"," -30인이상","전체임금총액[원]","원","5213049","4653918","4237938","4051897","3958510","4109746","4339562","4163838","4708984","4116854","3924812","4945883",
"전체"," -30인이상","상용임금총액[원]","원","5383912","4798806","4392495","4184362","4093969","4249078","4464959","4283010","4856906","4230137","4030025","5111923",
"전체"," -30인이상","상용정액급여[원]","원","3486749","3344193","3418450","3374948","3381946","3386721","3438026","3381889","3373852","3372749","3367926","3624454",
"전체"," -30인이상","상용초과급여[원]","원","310187","304121","326973","320999","338540","336571","315341","317323","314900","338098","321641","321285",
"전체"," -30인이상","상용특별급여[원]","원","1586976","1150492","647073","488414","373484","525786","711592","583798","1168154","519290","340458","1166185",
"전체"," -30인이상","임시일용임금총액[원]","원","2035416","1900334","1824443","1928347","1837941","1885015","2030555","2020692","2018990","2040461","2015597","2092202",
