"가정별","성별","연령별",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","계",25012374,25765673,26513030,27261747,27984155,28704674,29435571,30130983,30838302,31544266,32240827,32882704,33505406,34103149,34692266,35280725,35848523,36411795,36969185,37534236,38123775,38723248,39326352,39910403,40405956,40805744,41213674,41621690,42031247,42449038,42869283,43295704,43747962,44194628,44641540,45092991,45524681,45953580,46286503,46616677,47008111,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51217803,51361911,51585058,51764822,51836239,51769539,51672569,51712619,51751065,51684564,51609121,51534551,51459877,51384052,51305713,51223269,51135265,51040632,50937726,50824868,50701389,50567057,50417167,50247657,50059218,49851637,49625415,49380766,49117432,48835031,48532231,48208374,47863071,47495914,47106960,46697391,46267614,45818111,45350648,44867534,44371641,43864958,43349217,42827316,42302086,41775305,41248542,40723791,40202384,39685210,39172974,38666431,38165892,37670942,37181774,36698961,36222293
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","0 - 4세",4590812,4729444,4824275,4855180,4797702,4710919,4662734,4621997,4581311,4562049,4548177,4619581,4675505,4695313,4689282,4541059,4380101,4222842,4107110,4025181,4033727,4075892,4112359,4119715,4013144,3845533,3664739,3469862,3330753,3277842,3203203,3238866,3316174,3403133,3483283,3545704,3559073,3524075,3452808,3349173,3259783,3162858,3006361,2843122,2699556,2524288,2359807,2298242,2301398,2273634,2271803,2315573,2330921,2309327,2295016,2290097,2240110,2151219,2038736,1930344,1776616,1618830,1494041,1387730,1296661,1219810,1163069,1132285,1126311,1144645,1182654,1227443,1266869,1300255,1327327,1348334,1364010,1375467,1379606,1373826,1360214,1340453,1315728,1291052,1270421,1252572,1235987,1219048,1200231,1178309,1152490,1122514,1088662,1051699,1012777,973294,934751,898586,866055,838138,815471,798311,786552,779764,777259,778153,781475,786240,791520,796509,800555,803192,804122
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","5 - 9세",3350533,3600742,3829857,4100606,4358095,4550019,4686035,4783612,4812868,4745919,4629882,4524871,4457446,4413524,4422587,4478159,4540577,4611679,4626835,4584686,4458426,4316638,4168352,4056805,3990530,3967667,4017250,4083227,4109267,4021803,3843481,3644652,3440905,3281101,3191664,3166753,3188482,3269997,3367330,3459152,3521464,3533008,3494260,3416386,3321422,3233565,3136070,2976622,2809151,2671496,2497927,2336396,2276951,2279822,2252502,2251100,2297146,2308987,2288927,2276175,2278285,2231797,2142084,2027744,1914933,1766989,1611458,1484748,1381117,1289904,1213921,1157815,1127373,1121485,1139688,1177391,1221784,1260821,1293879,1320685,1341487,1357010,1368354,1372453,1366732,1353262,1333697,1309205,1284771,1264358,1246698,1230287,1213524,1194896,1173197,1147635,1117954,1084432,1047835,1009295,970206,932044,896243,864037,836403,813968,796987,785354,778642,776167,777063,780360,785080
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","10 - 14세",2646238,2734833,2818491,2894588,3059841,3316802,3567290,3793884,4065204,4330264,4531308,4619637,4725521,4740548,4678202,4595185,4514152,4438586,4382084,4395448,4458622,4532506,4605889,4624448,4588086,4491342,4347844,4193288,4047425,3961486,3926908,3975202,4034347,4050294,3978499,3824371,3655722,3439030,3271379,3164569,3129982,3156586,3231727,3325398,3409535,3465407,3483708,3439518,3368274,3284134,3209709,3119491,2969359,2803088,2666175,2488686,2327307,2264077,2267391,2241561,2250969,2297714,2311839,2289761,2273651,2271667,2221724,2136724,2023361,1910507,1763359,1608641,1482645,1379589,1288875,1213327,1157551,1127284,1121415,1139521,1177050,1221236,1260078,1292971,1319644,1340342,1355788,1367077,1371152,1365465,1352080,1332628,1308261,1283952,1263649,1246086,1229766,1213093,1194565,1172981,1147553,1118030,1084683,1048280,1009942,971058,933097,897479,865441,837953,815634,798743,787174
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","15 - 19세",2418444,2385695,2406634,2480480,2538928,2608078,2697527,2782684,2858382,3016634,3269356,3499916,3723447,3960106,4174551,4334269,4455008,4546786,4604018,4587525,4519689,4411934,4331102,4304820,4339154,4407777,4481930,4549972,4581350,4550521,4442014,4297041,4138758,3996579,3909674,3896948,3953516,4031766,4060624,3999155,3842432,3615529,3391243,3216920,3108835,3080061,3103285,3184001,3282024,3368818,3428793,3468536,3435576,3373050,3289729,3222268,3132204,2982455,2820005,2685976,2518218,2345886,2287873,2301077,2272843,2267007,2309228,2323747,2301322,2285032,2283155,2233375,2148742,2035900,1923663,1777168,1623231,1497998,1395564,1305368,1230266,1174849,1144832,1139092,1157207,1194636,1238645,1277291,1310016,1336555,1357147,1372510,1383738,1387782,1382098,1368763,1349393,1325136,1300951,1280766,1263305,1247077,1230489,1212050,1190565,1165252,1135860,1102667,1066432,1028273,989573,951796,916355
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","20 - 24세",2322705,2364469,2396924,2391964,2391559,2375793,2345065,2367660,2442257,2502316,2569044,2640975,2729488,2780387,2874517,3074414,3336525,3544548,3743774,3936519,4093407,4264325,4370369,4393485,4347506,4274337,4245645,4207912,4177568,4208326,4342407,4429021,4504498,4531297,4491139,4391626,4247453,4077566,3938084,3853441,3854382,3933235,4011329,4045569,3970573,3788780,3587201,3380558,3226850,3153001,3139049,3175673,3268949,3370906,3457405,3511968,3559849,3529657,3498197,3439052,3392351,3278327,3105237,2953664,2838789,2660295,2494651,2431280,2426368,2389769,2384126,2426189,2440583,2418364,2402164,2400385,2351103,2267308,2155611,2044680,1899865,1747829,1624276,1523211,1434173,1360058,1305450,1276022,1270569,1288649,1325750,1369285,1407469,1439796,1466007,1486341,1501518,1512613,1516583,1510910,1497682,1478512,1454534,1430652,1410735,1393501,1377474,1361082,1342843,1321585,1296545,1267466,1234634
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","25 - 29세",1933080,2028591,2117003,2198636,2248720,2278869,2318981,2352602,2349726,2350851,2335969,2297759,2309954,2378425,2458215,2535266,2588407,2647963,2727306,2862241,3072797,3299851,3499449,3713565,3917373,4097891,4206166,4291592,4346783,4342301,4326749,4264005,4216818,4203646,4237069,4300710,4344493,4424219,4441047,4418353,4352913,4224596,4064589,3941430,3853273,3843827,3927136,4018371,4056267,4001090,3834105,3664802,3464864,3315255,3259130,3269454,3279811,3368161,3493062,3587776,3645542,3675202,3628784,3594717,3533643,3476469,3392971,3246886,3083875,2951792,2773392,2607482,2543679,2538480,2501988,2496575,2538708,2553294,2531251,2515340,2513810,2464615,2380937,2269322,2158347,2013319,1860835,1736780,1635314,1545960,1471574,1416691,1386961,1381266,1399235,1436385,1480084,1518463,1550974,1577350,1597829,1613126,1624313,1628375,1622795,1609627,1590468,1566447,1542489,1522496,1505202,1489131,1472706
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","30 - 34세",1556328,1609631,1668138,1737520,1809800,1897676,1994345,2080356,2157800,2206952,2237747,2268991,2306035,2296469,2277514,2245682,2236634,2278218,2355958,2446500,2525214,2595896,2682293,2787668,2937236,3089272,3344633,3529362,3756309,3966001,4134702,4259036,4345014,4376728,4353044,4296721,4257500,4212189,4162297,4181625,4247992,4332087,4421320,4473012,4450632,4360436,4226271,4078911,3954807,3856438,3877784,3967427,4058688,4086255,4045454,3871602,3688255,3491542,3360617,3306462,3307803,3306451,3390434,3524540,3615767,3670087,3717056,3685186,3632729,3559267,3502597,3419461,3273431,3110295,2978111,2799624,2633573,2569710,2564652,2528297,2522916,2565215,2580018,2558106,2542198,2540694,2491539,2407731,2295860,2184573,2039223,1886391,1762012,1660280,1570700,1496117,1441096,1411322,1405667,1423735,1461026,1504889,1543428,1576077,1602572,1623149,1638524,1649782,1653890,1648315,1635124,1615925,1591848
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","35 - 39세",1370125,1378285,1393159,1411114,1461341,1503227,1558304,1624748,1702174,1777460,1866982,1948564,2029069,2108309,2166022,2209126,2251043,2293446,2310640,2300125,2279565,2269264,2298095,2369242,2462888,2552192,2564329,2647684,2703254,2805972,3042329,3273671,3489073,3712065,3924912,4092051,4204082,4312799,4357948,4324945,4273079,4228965,4187506,4154850,4216022,4267337,4361921,4449040,4509979,4466962,4387036,4241327,4087693,3949716,3854386,3892100,3964685,4054300,4095610,4051769,3866979,3683026,3482511,3349843,3297256,3305481,3320524,3411604,3519526,3599061,3653968,3701374,3670012,3617976,3544873,3488502,3405705,3260004,3097121,2965160,2786993,2621212,2557503,2552625,2516480,2511196,2553576,2568534,2546779,2530947,2529495,2480455,2396730,2284896,2173619,2028310,1875523,1751168,1649457,1559893,1485320,1430312,1400573,1394974,1413100,1450448,1494370,1532970,1565675,1592222,1612846,1628267,1639566
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","40 - 44세",1125034,1153393,1192402,1245123,1285534,1318905,1328372,1345172,1366081,1420672,1467129,1518568,1575198,1642717,1720007,1820221,1913806,1995036,2069345,2132768,2178570,2226462,2274207,2289040,2276724,2262901,2259794,2282293,2337657,2419171,2477748,2545795,2608361,2676856,2796727,2995391,3217477,3405223,3625438,3860167,4020438,4155285,4271265,4342326,4312441,4248300,4184030,4156757,4135275,4244225,4306370,4409021,4483989,4527975,4479628,4398381,4230029,4078404,3951400,3847859,3872171,3944406,4035019,4066215,4023556,3851246,3679608,3488687,3343046,3282713,3291549,3307141,3398478,3506627,3586480,3641740,3689494,3658642,3607044,3534382,3478407,3396023,3250793,3088360,2956743,2778966,2613456,2549841,2545061,2509083,2503915,2546399,2561524,2539933,2524219,2522913,2474060,2390486,2278797,2167632,2022442,1869705,1745346,1643632,1554074,1479506,1424501,1394764,1389167,1407304,1444685,1488672,1527348
