"ICT산업별(1)",ICT산업별(2),ICT산업별(3),1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022,2023,2023
"ICT산업별(1)",ICT산업별(2),ICT산업별(3),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$),수출액 (백만US$),수입액 (백만US$)
"합계",소계,소계,51930,32366,67271,44181,52841,35402,62113,39648,76324,45940,99803,52611,106934,57780,115839,63110,131031,69795,133341,73604,123383,62140,157058,75720,160717,81667,160504,78081,179864,81917,185048,88227,182439,91469,173126,89926,210237,102169,234264,107215,192053,108459,199822,112687,246095,135085,254718,152564,205610,136593
"정보통신방송기기",소계,소계,51872,32366,67144,44180,52623,35383,61701,38802,75813,45884,99189,52552,106219,57739,114978,63036,130098,69728,131164,73525,120949,62020,153941,75619,156617,81539,155236,77954,172683,81804,176233,88168,172866,91329,162460,89806,197570,102067,220341,107117,176877,108362,183508,112628,227608,135024,233232,152491,186750,136527
"정보통신방송기기",전자부품,소계,25700,20258,31898,25089,18899,19578,21709,22026,25674,26840,35526,30639,44120,32832,53641,35091,65480,41519,63729,43516,64298,37366,93848,44411,93572,46636,97596,46882,106780,50114,107749,50700,104410,50998,98972,47603,140325,54402,166047,58630,126791,58402,131075,61644,165059,74610,166917,89481,130851,75760
"정보통신방송기기",전자부품,반도체,18826,15970,25980,19810,14240,15471,16631,17476,19535,21328,26516,23618,29986,25133,33230,26399,39045,30817,32793,32018,31042,26619,50707,31137,50146,32483,50430,32242,57143,34619,62647,36461,62916,38278,62225,36608,99673,41422,128145,44946,95161,47397,100251,50627,128699,61719,130865,75146,99704,62794
"정보통신방송기기",전자부품,평판디스플레이,2426,921,336,1250,308,1018,359,1302,1331,1942,3629,2704,9328,2937,15540,3358,21593,4917,25712,5314,28104,5359,36319,6545,35819,6734,38291,6671,39266,6735,35863,6382,32843,5943,28098,4846,30291,6128,27760,6744,21837,4153,20713,3818,24657,3869,24413,4970,20926,4613
"정보통신방송기기",전자부품,센서,15,147,20,174,19,145,23,144,32,258,61,407,82,530,128,565,206,823,335,1100,456,889,664,1088,834,1140,1156,1205,1226,1526,552,1071,287,504,74,91,58,103,69,89,61,86,58,94,66,103,73,93,58,72
"정보통신방송기기",전자부품,전자관,3094,1183,3574,1201,2743,763,2925,680,2734,502,2766,437,1899,326,1357,237,720,163,475,122,315,156,279,118,188,80,46,79,27,62,24,70,11,69,9,66,6,67,7,66,5,41,4,56,5,64,6,75,10,73
"정보통신방송기기",전자부품,수동부품,450,803,802,1156,591,938,569,991,579,1055,609,1175,612,1200,685,1273,899,1327,1011,1240,1087,1151,1514,1456,1528,1545,1422,1564,1537,1738,1547,1585,1565,1493,1448,1522,1847,1830,2049,2047,1907,1978,2032,2229,2344,2800,2148,2563,2310,2424
