"국가(통화단위)별",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"아시아",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"대한민국(Won)",770.94,805.13,953.58,1394.97,1188.65,1131.12,1290.99,1250.65,1191.85,1143.74,1024.13,955.08,929.16,1103.36,1276.35,1156.00,1107.99,1126.76,1095.04,1053.12,1131.52,1160.41,1130.48,1100.58,1166.11,1180.01,1144.61,1292.20,1305.93
"아프가니스탄(Afghanis)",36.57,47.50,47.50,47.50,46.62,47.36,47.50,47.26,48.76,47.85,49.49,49.93,49.96,50.25,50.33,46.45,46.75,50.92,55.38,57.25,61.14,67.87,68.03,72.08,77.74,76.81,-,-,-
"아르메니아(Drams)",405.91,414.04,490.85,504.92,535.06,539.53,555.08,573.35,578.76,533.45,457.69,416.04,342.08,305.97,363.28,373.66,372.50,401.76,409.63,415.92,477.92,480.49,482.72,482.99,480.45,489.01,503.77,435.67,392.48
"아제르바이잔(Manat)",0.88,0.86,0.80,0.77,0.82,0.89,0.93,0.97,0.98,0.98,0.95,0.89,0.86,0.82,0.80,0.80,0.79,0.79,0.78,0.78,1.02,1.60,1.72,1.70,1.70,1.70,1.70,1.70,1.70
"바레인(Dinar)",0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
"방글라데시(Taka)",40.28,41.79,43.89,46.91,49.09,52.14,55.81,57.89,58.15,59.51,64.33,68.93,68.87,68.60,69.04,69.65,74.15,81.86,78.10,77.64,77.95,78.47,80.44,83.47,84.45,84.87,85.08,91.75,106.31
"부탄(Ngultrum)",32.43,35.43,36.31,41.26,43.06,44.94,47.19,48.61,46.58,45.32,44.10,45.31,41.35,43.51,48.41,45.73,46.67,53.44,58.60,61.03,64.15,67.20,65.12,68.39,70.42,74.10,73.92,78.60,82.60
"브루나이(B$)",1.42,1.41,1.48,1.67,1.69,1.72,1.79,1.79,1.74,1.69,1.66,1.59,1.51,1.42,1.45,1.36,1.26,1.25,1.25,1.27,1.37,1.38,1.38,1.35,1.36,1.38,1.34,1.38,1.34
"캄보디아(Riels)",2450.83,2624.08,2946.25,3744.42,3807.83,3840.75,3916.33,3912.08,3973.33,4016.25,4092.50,4103.25,4056.17,4054.17,4139.33,4184.92,4058.50,4033.00,4027.25,4037.50,4067.75,4058.69,4050.58,4051.17,4061.15,4092.78,4098.72,4102.04,4110.65
"중국(Yuan)",8.35,8.31,8.29,8.28,8.28,8.28,8.28,8.28,8.28,8.28,8.19,7.97,7.61,6.95,6.83,6.77,6.46,6.31,6.20,6.14,6.23,6.64,6.76,6.62,6.91,6.90,6.45,6.74,7.08
"키프로스(Pound)",0.45,0.47,0.51,0.52,0.54,0.62,0.64,0.61,0.52,0.47,0.46,0.46,0.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"동티모르(US$)",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
"조지아(Lari)",-,1.26,1.30,1.39,2.02,1.98,2.07,2.20,2.15,1.92,1.81,1.78,1.67,1.49,1.67,1.78,1.69,1.65,1.66,1.77,2.27,2.37,2.51,2.53,2.82,3.11,3.22,2.92,2.63
"홍콩(HK$)",7.74,7.73,7.74,7.75,7.76,7.79,7.80,7.80,7.79,7.79,7.78,7.77,7.80,7.79,7.75,7.77,7.78,7.76,7.76,7.75,7.75,7.76,7.79,7.84,7.84,7.76,7.77,7.83,7.83
"인도(Rupees)",32.43,35.43,36.31,41.26,43.06,44.94,47.19,48.61,46.58,45.32,44.10,45.31,41.35,43.51,48.41,45.73,46.67,53.44,58.60,61.03,64.15,67.20,65.12,68.39,70.42,74.10,73.92,78.60,82.60
"인도네시아(Rupiah)",2248.61,2342.30,2909.38,10013.62,7855.15,8421.78,10260.85,9311.19,8577.13,8938.85,9704.74,9159.32,9141.00,9698.96,10389.94,9090.43,8770.43,9386.63,10461.24,11865.21,13389.41,13308.33,13380.83,14236.94,14147.67,14582.20,14308.14,14849.85,15236.88
"이란(Rials)",1748.35,1751.19,1753.35,1752.29,1753.35,1764.86,1753.99,6907.03,8193.89,8613.99,8963.96,9170.94,9281.15,9428.53,9864.30,10254.18,10616.31,12175.55,18414.45,25941.66,29011.49,30914.85,33226.30,40864.33,42000.00,42000.00,42000.00,42000.00,42000.00
"이라크(New Iraqi dinars)",2002.39,2002.39,2002.39,2002.39,2002.39,2002.40,2002.40,2002.37,-,1453.42,1472.00,1467.42,1254.57,1193.08,1170.00,1170.00,1170.00,1166.17,1166.00,1166.00,1167.33,1182.00,1184.00,1182.75,1182.00,1192.00,1450.00,1450.00,1312.50
"이스라엘(New Sheqalim)",3.01,3.19,3.45,3.80,4.14,4.08,4.21,4.74,4.55,4.48,4.49,4.46,4.11,3.59,3.93,3.74,3.58,3.86,3.61,3.58,3.89,3.84,3.60,3.59,3.56,3.44,3.23,3.36,3.67
"일본(Yen)",94.06,108.78,120.99,130.91,113.91,107.77,121.53,125.39,115.93,108.19,110.22,116.30,117.75,103.36,93.57,87.78,79.81,79.79,97.60,105.94,121.04,108.79,112.17,110.42,109.01,106.77,109.75,131.50,140.49
"요르단(Dinars)",0.70,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
"카자흐스탄(Tenge)",60.95,67.30,75.44,78.30,119.52,142.13,146.74,153.28,149.58,136.04,132.88,126.09,122.55,120.30,147.50,147.36,146.62,149.11,152.13,179.19,221.73,342.16,326.00,344.71,382.75,412.95,425.91,460.17,456.17
"쿠웨이트(Dinar)",0.30,0.30,0.30,0.30,0.30,0.31,0.31,0.30,0.30,0.29,0.29,0.29,0.28,0.27,0.29,0.29,0.28,0.28,0.28,0.28,0.30,0.30,0.30,0.30,0.30,0.31,0.30,0.31,0.31
"키르기즈스탄(Soms)",10.82,12.81,17.36,20.84,39.01,47.70,48.38,46.94,43.65,42.65,41.01,40.15,37.32,36.57,42.90,45.96,46.14,47.00,48.44,53.65,64.46,69.91,68.87,68.84,69.79,77.35,84.64,84.12,87.86
