월별,시간별,기간,전력소비계수
1월,1시,2,866.0
2월,1시,2,877.0
3월,1시,2,879.0
4월,1시,2,896.0
5월,1시,2,885.0
6월,1시,2,853.0
7월,1시,2,814.0
8월,1시,2,824.0
9월,1시,2,835.0
10월,1시,2,867.0
11월,1시,2,872.0
12월,1시,2,856.0
1월,1시,2,842.0
2월,1시,2,850.0
3월,1시,2,866.0
4월,1시,2,876.0
5월,1시,2,870.0
6월,1시,2,850.0
7월,1시,2,836.0
8월,1시,2,842.0
9월,1시,2,853.0
10월,1시,2,882.0
11월,1시,2,877.0
12월,1시,2,855.0
1월,1시,2,858.0
2월,1시,2,863.0
3월,1시,2,862.0
4월,1시,2,884.0
5월,1시,2,896.0
6월,1시,2,859.0
7월,1시,2,855.0
8월,1시,2,855.0
9월,1시,2,874.0
10월,1시,2,903.0
11월,1시,2,888.0
12월,1시,2,863.0
1월,1시,2,555.0
2월,1시,2,582.0
3월,1시,2,618.0
4월,1시,2,606.0
5월,1시,2,596.0
6월,1시,2,591.0
7월,1시,2,588.0
8월,1시,2,565.0
9월,1시,2,573.0
10월,1시,2,594.0
11월,1시,2,590.0
12월,1시,2,579.0
1월,1시,2,572.0
2월,1시,2,564.0
3월,1시,2,567.0
4월,1시,2,594.0
5월,1시,2,566.0
6월,1시,2,555.0
7월,1시,2,551.0
8월,1시,2,552.0
9월,1시,2,597.0
10월,1시,2,642.0
11월,1시,2,571.0
12월,1시,2,555.0
1월,1시,2,897.0
2월,1시,2,904.0
3월,1시,2,914.0
4월,1시,2,914.0
5월,1시,2,907.0
6월,1시,2,899.0
7월,1시,2,900.0
8월,1시,2,908.0
9월,1시,2,925.0
10월,1시,2,924.0
11월,1시,2,916.0
12월,1시,2,905.0
1월,1시,2,902.0
2월,1시,2,901.0
3월,1시,2,911.0
4월,1시,2,913.0
5월,1시,2,910.0
6월,1시,2,905.0
7월,1시,2,888.0
8월,1시,2,885.0
9월,1시,2,896.0
10월,1시,2,903.0
11월,1시,2,905.0
12월,1시,2,882.0
1월,1시,2,880.0
2월,1시,2,884.0
3월,1시,2,890.0
4월,1시,2,908.0
5월,1시,2,903.0
6월,1시,2,887.0
7월,1시,2,876.0
8월,1시,2,881.0
9월,1시,2,885.0
10월,1시,2,887.0
11월,1시,2,902.0
12월,1시,2,887.0
1월,1시,2,862.0
2월,1시,2,864.0
3월,1시,2,876.0
4월,1시,2,886.0
5월,1시,2,878.0
6월,1시,2,862.0
7월,1시,2,854.0
8월,1시,2,847.0
9월,1시,2,883.0
10월,1시,2,902.0
11월,1시,2,896.0
12월,1시,2,905.0
1월,1시,2,892.0
2월,1시,2,900.0
3월,1시,2,918.0
4월,1시,2,1071.0
5월,1시,2,917.0
6월,1시,2,955.0
7월,1시,2,900.0
8월,1시,2,900.0
9월,1시,2,917.0
10월,1시,2,938.0
11월,1시,2,924.0
12월,1시,2,952.0
1월,1시,2,914.0
2월,1시,2,935.0
3월,1시,2,953.0
4월,1시,2,961.0
5월,1시,2,956.0
6월,1시,2,950.0
7월,1시,2,942.0
8월,1시,2,947.0
9월,1시,2,962.0
10월,1시,2,966.0
11월,1시,2,966.0
12월,1시,2,955.0
1월,1시,2,948.0
2월,1시,2,946.0
3월,1시,2,951.0
4월,1시,2,950.0
5월,1시,2,940.0
6월,1시,2,939.0
7월,1시,2,930.0
8월,1시,2,918.0
9월,1시,2,942.0
10월,1시,2,949.0
11월,1시,2,947.0
12월,1시,2,943.0
1월,1시,2,914.0
2월,1시,2,919.0
3월,1시,2,931.0
4월,1시,2,938.0
5월,1시,2,937.0
6월,1시,2,933.0
7월,1시,2,943.0
8월,1시,2,898.0
9월,1시,2,927.0
10월,1시,2,934.0
11월,1시,2,936.0
12월,1시,2,917.0
1월,1시,2,904.0
2월,1시,2,913.0
3월,1시,2,930.0
4월,1시,2,927.0
5월,1시,2,974.0
6월,1시,2,981.0
7월,1시,2,980.0
8월,1시,2,976.0
9월,1시,2,979.0
10월,1시,2,980.0
11월,1시,2,981.0
12월,1시,2,979.0
1월,1시,2,974.4
2월,1시,2,975.7
3월,1시,2,980.1
4월,1시,2,981.4
5월,1시,2,984.7
6월,1시,2,976.6
7월,1시,2,987.8
8월,1시,2,977.1
9월,1시,2,986.4
10월,1시,2,974.7
11월,1시,2,978.9
12월,1시,2,975.7
1월,1시,2,971.0
2월,1시,2,976.0
3월,1시,2,981.0
4월,1시,2,981.0
5월,1시,2,979.0
6월,1시,2,988.0
7월,1시,2,986.0
8월,1시,2,991.0
9월,1시,2,994.0
10월,1시,2,987.0
11월,1시,2,979.0
12월,1시,2,972.0
