금액(백만US$),연도,구분
32366,1999,수입액 (백만US$)
51930,1999,수출액 (백만US$)
44181,2000,수입액 (백만US$)
67271,2000,수출액 (백만US$)
35402,2001,수입액 (백만US$)
52841,2001,수출액 (백만US$)
39648,2002,수입액 (백만US$)
62113,2002,수출액 (백만US$)
45940,2003,수입액 (백만US$)
76324,2003,수출액 (백만US$)
52611,2004,수입액 (백만US$)
99803,2004,수출액 (백만US$)
57780,2005,수입액 (백만US$)
106934,2005,수출액 (백만US$)
63110,2006,수입액 (백만US$)
115839,2006,수출액 (백만US$)
69795,2007,수입액 (백만US$)
131031,2007,수출액 (백만US$)
73604,2008,수입액 (백만US$)
133341,2008,수출액 (백만US$)
62140,2009,수입액 (백만US$)
123383,2009,수출액 (백만US$)
75720,2010,수입액 (백만US$)
157058,2010,수출액 (백만US$)
81667,2011,수입액 (백만US$)
160717,2011,수출액 (백만US$)
78081,2012,수입액 (백만US$)
160504,2012,수출액 (백만US$)
81917,2013,수입액 (백만US$)
179864,2013,수출액 (백만US$)
88227,2014,수입액 (백만US$)
185048,2014,수출액 (백만US$)
91469,2015,수입액 (백만US$)
182439,2015,수출액 (백만US$)
89926,2016,수입액 (백만US$)
173126,2016,수출액 (백만US$)
102169,2017,수입액 (백만US$)
210237,2017,수출액 (백만US$)
107215,2018,수입액 (백만US$)
234264,2018,수출액 (백만US$)
108459,2019,수입액 (백만US$)
192053,2019,수출액 (백만US$)
112687,2020,수입액 (백만US$)
199822,2020,수출액 (백만US$)
135085,2021,수입액 (백만US$)
246095,2021,수출액 (백만US$)
152564,2022,수입액 (백만US$)
254718,2022,수출액 (백만US$)
136593,2023,수입액 (백만US$)
205610,2023,수출액 (백만US$)
