계정항목별,기간,값
정보통신업,1995.1/4,2600.8
정보통신업,1995.2/4,2755.1
정보통신업,1995.3/4,2976.8
정보통신업,1995.4/4,3043.9
정보통신업,1996.1/4,3187.3
정보통신업,1996.2/4,3343.4
정보통신업,1996.3/4,3624.5
정보통신업,1996.4/4,3625.6
정보통신업,1997.1/4,3654.8
정보통신업,1997.2/4,3853.0
정보통신업,1997.3/4,4251.3
정보통신업,1997.4/4,4202.8
정보통신업,1998.1/4,3823.6
정보통신업,1998.2/4,4045.1
정보통신업,1998.3/4,4511.8
정보통신업,1998.4/4,4416.6
정보통신업,1999.1/4,4615.9
정보통신업,1999.2/4,5030.8
정보통신업,1999.3/4,5502.8
정보통신업,1999.4/4,5865.8
정보통신업,2000.1/4,6335.6
정보통신업,2000.2/4,6745.6
정보통신업,2000.3/4,6968.1
정보통신업,2000.4/4,7378.2
정보통신업,2001.1/4,7855.1
정보통신업,2001.2/4,8026.3
정보통신업,2001.3/4,8161.0
정보통신업,2001.4/4,8773.0
정보통신업,2002.1/4,9251.4
정보통신업,2002.2/4,9464.0
정보통신업,2002.3/4,9661.4
정보통신업,2002.4/4,10006.6
정보통신업,2003.1/4,9958.1
정보통신업,2003.2/4,10073.4
정보통신업,2003.3/4,10347.2
정보통신업,2003.4/4,10568.5
정보통신업,2004.1/4,10900.5
정보통신업,2004.2/4,11103.5
정보통신업,2004.3/4,11184.2
정보통신업,2004.4/4,11574.3
정보통신업,2005.1/4,11869.0
정보통신업,2005.2/4,12079.3
정보통신업,2005.3/4,12454.3
정보통신업,2005.4/4,12729.8
정보통신업,2006.1/4,12586.1
정보통신업,2006.2/4,12797.5
정보통신업,2006.3/4,12918.6
정보통신업,2006.4/4,13314.2
정보통신업,2007.1/4,12998.7
정보통신업,2007.2/4,13169.4
정보통신업,2007.3/4,13474.4
정보통신업,2007.4/4,13811.9
정보통신업,2008.1/4,13860.4
정보통신업,2008.2/4,13863.3
정보통신업,2008.3/4,13892.7
정보통신업,2008.4/4,13867.7
정보통신업,2009.1/4,14100.1
정보통신업,2009.2/4,14374.1
정보통신업,2009.3/4,14334.7
정보통신업,2009.4/4,14588.6
정보통신업,2010.1/4,14658.4
정보통신업,2010.2/4,14718.2
정보통신업,2010.3/4,14910.2
정보통신업,2010.4/4,15202.1
정보통신업,2011.1/4,15560.0
정보통신업,2011.2/4,15564.2
정보통신업,2011.3/4,15674.0
정보통신업,2011.4/4,15760.3
정보통신업,2012.1/4,15981.0
정보통신업,2012.2/4,16315.4
정보통신업,2012.3/4,16149.8
정보통신업,2012.4/4,16399.6
정보통신업,2013.1/4,16839.3
정보통신업,2013.2/4,17216.0
정보통신업,2013.3/4,17063.4
정보통신업,2013.4/4,17068.9
정보통신업,2014.1/4,17181.9
정보통신업,2014.2/4,17292.1
정보통신업,2014.3/4,17308.6
정보통신업,2014.4/4,17428.9
정보통신업,2015.1/4,17081.0
정보통신업,2015.2/4,17150.5
정보통신업,2015.3/4,17773.9
정보통신업,2015.4/4,18103.1
정보통신업,2016.1/4,18097.7
정보통신업,2016.2/4,18550.8
정보통신업,2016.3/4,18935.8
정보통신업,2016.4/4,18810.7
정보통신업,2017.1/4,18856.9
정보통신업,2017.2/4,18741.9
정보통신업,2017.3/4,19564.0
정보통신업,2017.4/4,20046.2
정보통신업,2018.1/4,20196.6
정보통신업,2018.2/4,20152.2
정보통신업,2018.3/4,20451.8
정보통신업,2018.4/4,20441.9
정보통신업,2019.1/4,21191.5
정보통신업,2019.2/4,21380.1
정보통신업,2019.3/4,21313.8
정보통신업,2019.4/4,21690.4
정보통신업,2020.1/4,22263.1
정보통신업,2020.2/4,22335.4
정보통신업,2020.3/4,21927.0
정보통신업,2020.4/4,22689.8
정보통신업,2021.1/4,23400.5
정보통신업,2021.2/4,24099.3
정보통신업,2021.3/4,24622.3
정보통신업,2021.4/4,25391.3
정보통신업,2022.1/4,24115.0
정보통신업,2022.2/4,25096.1
정보통신업,2022.3/4,25293.2
정보통신업,2022.4/4,25282.6
정보통신업,2023.1/4,25685.2
정보통신업,2023.2/4,25662.7
정보통신업,2023.3/4,26451.3
정보통신업,2023.4/4,26605.1
정보통신업,2024.1/4,26458.2
정보통신업,2024.2/4,25696.0
정보통신업,2024.3/4,26217.0
정보통신업,2024.4/4,26588.8
정보통신업,2025.1/4,26772.0
정보통신업,2025.2/4,26562.4
