,corporate_loans_lagged_금리(연리%),corporate_loans_lagged_금리(연리%)_lag_6,corporate_loans_long_금리(연리%),GFCF_ICT_Real_long_GFCF_Real,GFCF_Real_ma6_GFCF_Real,GFCF_Real_ma6_GFCF_Real_6년_이동평균,ict_수입액 (백만US$),ict_수출액 (백만US$),info_comm_value,investment_final_전기기기 및 장치_계절조정지수 (2020=100),investment_final_전기기기 및 장치_원지수 (2020=100),investment_final_컴퓨터사무용기계_계절조정지수 (2020=100),investment_final_컴퓨터사무용기계_원지수 (2020=100),investment_final_특수산업용기계_계절조정지수 (2020=100),investment_final_특수산업용기계_원지수 (2020=100),investment_lagged_계절조정지수 (2020=100)_전기기기 및 장치,investment_lagged_계절조정지수 (2020=100)_컴퓨터사무용기계,investment_lagged_계절조정지수 (2020=100)_특수산업용기계,investment_lagged_원지수 (2020=100)_전기기기 및 장치,investment_lagged_원지수 (2020=100)_컴퓨터사무용기계,investment_lagged_원지수 (2020=100)_특수산업용기계,investment_lagged_계절조정지수 (2020=100)_lag_1_전기기기 및 장치,investment_lagged_계절조정지수 (2020=100)_lag_1_컴퓨터사무용기계,investment_lagged_계절조정지수 (2020=100)_lag_1_특수산업용기계,investment_lagged_계절조정지수 (2020=100)_lag_3_전기기기 및 장치,investment_lagged_계절조정지수 (2020=100)_lag_3_컴퓨터사무용기계,investment_lagged_계절조정지수 (2020=100)_lag_3_특수산업용기계,investment_lagged_계절조정지수 (2020=100)_lag_6_전기기기 및 장치,investment_lagged_계절조정지수 (2020=100)_lag_6_컴퓨터사무용기계,investment_lagged_계절조정지수 (2020=100)_lag_6_특수산업용기계,investment_lagged_계절조정지수 (2020=100)_lag_12_전기기기 및 장치,investment_lagged_계절조정지수 (2020=100)_lag_12_컴퓨터사무용기계,investment_lagged_계절조정지수 (2020=100)_lag_12_특수산업용기계,investment_lagged_원지수 (2020=100)_lag_1_전기기기 및 장치,investment_lagged_원지수 (2020=100)_lag_1_컴퓨터사무용기계,investment_lagged_원지수 (2020=100)_lag_1_특수산업용기계,investment_lagged_원지수 (2020=100)_lag_3_전기기기 및 장치,investment_lagged_원지수 (2020=100)_lag_3_컴퓨터사무용기계,investment_lagged_원지수 (2020=100)_lag_3_특수산업용기계,investment_lagged_원지수 (2020=100)_lag_6_전기기기 및 장치,investment_lagged_원지수 (2020=100)_lag_6_컴퓨터사무용기계,investment_lagged_원지수 (2020=100)_lag_6_특수산업용기계,investment_lagged_원지수 (2020=100)_lag_12_전기기기 및 장치,investment_lagged_원지수 (2020=100)_lag_12_컴퓨터사무용기계,investment_lagged_원지수 (2020=100)_lag_12_특수산업용기계,investment_ma_돈_전기기기 및 장치_원지수 (2020=100),investment_ma_돈_전기기기 및 장치_계절조정지수 (2020=100),investment_ma_돈_컴퓨터사무용기계_원지수 (2020=100),investment_ma_돈_컴퓨터사무용기계_계절조정지수 (2020=100),investment_ma_돈_특수산업용기계_원지수 (2020=100),investment_ma_돈_특수산업용기계_계절조정지수 (2020=100),investment_ma_이동평균_3개월_전기기기 및 장치_원지수 (2020=100),investment_ma_이동평균_3개월_전기기기 및 장치_계절조정지수 (2020=100),investment_ma_이동평균_3개월_컴퓨터사무용기계_원지수 (2020=100),investment_ma_이동평균_3개월_컴퓨터사무용기계_계절조정지수 (2020=100),investment_ma_이동평균_3개월_특수산업용기계_원지수 (2020=100),investment_ma_이동평균_3개월_특수산업용기계_계절조정지수 (2020=100),investment_ma_이동평균_6개월_전기기기 및 장치_원지수 (2020=100),investment_ma_이동평균_6개월_전기기기 및 장치_계절조정지수 (2020=100),investment_ma_이동평균_6개월_컴퓨터사무용기계_원지수 (2020=100),investment_ma_이동평균_6개월_컴퓨터사무용기계_계절조정지수 (2020=100),investment_ma_이동평균_6개월_특수산업용기계_원지수 (2020=100),investment_ma_이동평균_6개월_특수산업용기계_계절조정지수 (2020=100),investment_ma_이동평균_12개월_전기기기 및 장치_원지수 (2020=100),investment_ma_이동평균_12개월_전기기기 및 장치_계절조정지수 (2020=100),investment_ma_이동평균_12개월_컴퓨터사무용기계_원지수 (2020=100),investment_ma_이동평균_12개월_컴퓨터사무용기계_계절조정지수 (2020=100),investment_ma_이동평균_12개월_특수산업용기계_원지수 (2020=100),investment_ma_이동평균_12개월_특수산업용기계_계절조정지수 (2020=100),exchange_rate_lagged_환율,exchange_rate_lagged_환율_lag_1,exchange_rate_lagged_환율_lag_6,exchange_rate_long_환율,software_expenditure,gdp_통신업
1995-01-01,11.14,11.14,11.14,10379.4,10379.4,13507.583333333,32366,51930,2600.8,60.9,50.6,15.7,15.3,80.1,71,60.9,15.7,80.1,50.6,15.3,71,60.9,15.7,80.1,60.9,15.7,80.1,60.9,15.7,80.1,60.9,15.7,80.1,50.6,15.3,71,50.6,15.3,71,50.6,15.3,71,50.6,15.3,71,50.6,60.9,15.3,15.7,71,80.1,64.266666666667,65.3,17.066666666667,16.3,74.4,76.566666666667,72.2,73.866666666667,17.966666666667,17.816666666667,65.8,64.616666666667,73.308333333333,72.891666666667,18.6,18.583333333333,56.408333333333,56.241666666667,770.94,770.94,770.94,770.94,273569,430.4
1995-02-01,11.14,11.14,11.14,10497.341666667,10497.341666667,13507.583333333,32366,51930,2652.2333333333,60.9,50.6,15.7,15.3,80.1,71,60.9,15.7,80.1,50.6,15.3,71,60.9,15.7,80.1,60.9,15.7,80.1,60.9,15.7,80.1,60.9,15.7,80.1,50.6,15.3,71,50.6,15.3,71,50.6,15.3,71,50.6,15.3,71,50.6,60.9,15.3,15.7,71,80.1,64.266666666667,65.3,17.066666666667,16.3,74.4,76.566666666667,72.2,73.866666666667,17.966666666667,17.816666666667,65.8,64.616666666667,73.308333333333,72.891666666667,18.6,18.583333333333,56.408333333333,56.241666666667,773.78916666667,770.94,770.94,773.78916666667,273569,439.43333333333
1995-03-01,11.14,11.14,11.14,10615.283333333,10615.283333333,13507.583333333,32366,51930,2703.6666666667,79.4,85.7,16,18,80.1,71,79.4,16,80.1,85.7,18,71,60.9,15.7,80.1,60.9,15.7,80.1,60.9,15.7,80.1,60.9,15.7,80.1,50.6,15.3,71,50.6,15.3,71,50.6,15.3,71,50.6,15.3,71,85.7,79.4,18,16,71,80.1,64.266666666667,65.3,17.066666666667,16.3,74.4,76.566666666667,72.2,73.866666666667,17.966666666667,17.816666666667,65.8,64.616666666667,73.308333333333,72.891666666667,18.6,18.583333333333,56.408333333333,56.241666666667,776.63833333333,770.94,770.94,776.63833333333,273569,448.46666666667
1995-04-01,11.14,11.14,11.14,10733.225,10733.225,13507.583333333,32366,51930,2755.1,55.6,56.5,17.2,17.9,80.1,71,55.6,17.2,80.1,56.5,17.9,71,79.4,16,80.1,60.9,15.7,80.1,60.9,15.7,80.1,60.9,15.7,80.1,85.7,18,71,50.6,15.3,71,50.6,15.3,71,50.6,15.3,71,56.5,55.6,17.9,17.2,71,80.1,64.266666666667,65.3,17.066666666667,16.3,74.4,76.566666666667,72.2,73.866666666667,17.966666666667,17.816666666667,65.8,64.616666666667,73.308333333333,72.891666666667,18.6,18.583333333333,56.408333333333,56.241666666667,779.4875,770.94,770.94,779.4875,273569,457.5
1995-05-01,11.14,11.14,11.14,10851.166666667,10851.166666667,13507.583333333,32366,51930,2829,78.4,75.4,18.6,18.8,80.1,71,78.4,18.6,80.1,75.4,18.8,71,55.6,17.2,80.1,60.9,15.7,80.1,60.9,15.7,80.1,60.9,15.7,80.1,56.5,17.9,71,50.6,15.3,71,50.6,15.3,71,50.6,15.3,71,75.4,78.4,18.8,18.6,71,80.1,72.533333333333,71.133333333333,18.233333333333,17.266666666667,74.4,76.566666666667,72.2,73.866666666667,17.966666666667,17.816666666667,65.8,64.616666666667,73.308333333333,72.891666666667,18.6,18.583333333333,56.408333333333,56.241666666667,782.33666666667,770.94,770.94,782.33666666667,273569,466.3
1995-06-01,11.14,11.14,11.14,10969.108333333,10969.108333333,13507.583333333,32366,51930,2902.9,81.4,86.3,19.7,19.4,80.1,71,81.4,19.7,80.1,86.3,19.4,71,78.4,18.6,80.1,79.4,16,80.1,60.9,15.7,80.1,60.9,15.7,80.1,75.4,18.8,71,85.7,18,71,50.6,15.3,71,50.6,15.3,71,86.3,81.4,19.4,19.7,71,80.1,72.733333333333,71.8,18.7,18.5,74.4,76.566666666667,72.2,73.866666666667,17.966666666667,17.816666666667,65.8,64.616666666667,73.308333333333,72.891666666667,18.6,18.583333333333,56.408333333333,56.241666666667,785.18583333333,770.94,770.94,785.18583333333,273569,475.1
1995-07-01,11.14,11.14,11.14,11087.05,11087.05,13507.583333333,32366,51930,2976.8,87.5,78.7,19.7,18.4,80.1,71,87.5,19.7,80.1,78.7,18.4,71,81.4,19.7,80.1,55.6,17.2,80.1,60.9,15.7,80.1,60.9,15.7,80.1,86.3,19.4,71,56.5,17.9,71,50.6,15.3,71,50.6,15.3,71,78.7,87.5,18.4,19.7,71,80.1,80.133333333333,82.433333333333,18.866666666667,19.333333333333,74.4,76.566666666667,72.2,73.866666666667,17.966666666667,17.816666666667,65.8,64.616666666667,73.308333333333,72.891666666667,18.6,18.583333333333,56.408333333333,56.241666666667,788.035,770.94,770.94,788.035,273569,483.9
1995-08-01,11.14,11.14,11.14,11204.991666667,11204.991666667,13507.583333333,32366,51930,2999.1666666667,74.4,78,18.5,17.5,80.1,71,74.4,18.5,80.1,78,17.5,71,87.5,19.7,80.1,78.4,18.6,80.1,60.9,15.7,80.1,60.9,15.7,80.1,78.7,18.4,71,75.4,18.8,71,50.6,15.3,71,50.6,15.3,71,78,74.4,17.5,18.5,71,80.1,81,81.1,18.433333333333,19.3,74.4,76.566666666667,76.766666666667,76.116666666667,18.333333333333,18.283333333333,65.8,64.616666666667,73.308333333333,72.891666666667,18.6,18.583333333333,56.408333333333,56.241666666667,790.88416666667,770.94,770.94,790.88416666667,273569,488.76666666667
1995-09-01,11.14,11.14,11.14,11322.933333333,11322.933333333,13507.583333333,32366,51930,3021.5333333333,68,69,19.2,17.1,80.1,71,68,19.2,80.1,69,17.1,71,74.4,18.5,80.1,81.4,19.7,80.1,79.4,16,80.1,60.9,15.7,80.1,78,17.5,71,86.3,19.4,71,85.7,18,71,50.6,15.3,71,69,68,17.1,19.2,71,80.1,75.233333333333,76.633333333333,17.666666666667,19.133333333333,74.4,76.566666666667,73.983333333333,74.216666666667,18.183333333333,18.816666666667,65.8,64.616666666667,73.308333333333,72.891666666667,18.6,18.583333333333,56.408333333333,56.241666666667,793.73333333333,770.94,770.94,793.73333333333,273569,493.63333333333
1995-10-01,11.14,11.14,11.14,11440.875,11440.875,13507.583333333,32366,51930,3043.9,69.5,69.9,19.4,18.4,80.1,71,69.5,19.4,80.1,69.9,18.4,71,68,19.2,80.1,87.5,19.7,80.1,55.6,17.2,80.1,60.9,15.7,80.1,69,17.1,71,78.7,18.4,71,56.5,17.9,71,50.6,15.3,71,69.9,69.5,18.4,19.4,71,80.1,72.3,70.633333333333,17.666666666667,19.033333333333,74.4,76.566666666667,76.216666666667,76.533333333333,18.266666666667,19.183333333333,65.8,64.616666666667,73.308333333333,72.891666666667,18.6,18.583333333333,56.408333333333,56.241666666667,796.5825,770.94,770.94,796.5825,273569,498.5
