year,loan_avg,loan_avg_lag1,loan_avg_lag2
1996,11.21,,
1997,11.83,11.21,
1998,15.18,11.83,11.21
1999,9.4,15.18,11.83
2000,8.55,9.4,15.18
2001,7.7,8.55,9.4
2002,6.7,7.7,8.55
2003,6.24,6.7,7.7
2004,5.9,6.24,6.7
2005,5.59,5.9,6.24
2006,5.99,5.59,5.9
2007,6.55,5.99,5.59
2008,7.17,6.55,5.99
2009,5.65,7.17,6.55
2010,5.51,5.65,7.17
2011,5.76,5.51,5.65
2012,5.4,5.76,5.51
2013,4.64,5.4,5.76
2014,4.26,4.64,5.4
2015,3.53,4.26,4.64
2016,3.37,3.53,4.26
2017,3.48,3.37,3.53
2018,3.66,3.48,3.37
2019,3.45,3.66,3.48
2020,2.8,3.45,3.66
2021,2.88,2.8,3.45
2022,4.29,2.88,2.8
2023,5.19,4.29,2.88
2024,4.73,5.19,4.29
