도메인,날짜,계절조정지수 (2020=100),원지수 (2020=100),계절조정지수 (2020=100)_lag_1,계절조정지수 (2020=100)_lag_3,계절조정지수 (2020=100)_lag_6,계절조정지수 (2020=100)_lag_12,원지수 (2020=100)_lag_1,원지수 (2020=100)_lag_3,원지수 (2020=100)_lag_6,원지수 (2020=100)_lag_12
전기기기 및 장치,1995-02-01,60.9,50.6,,,,,,,,
전기기기 및 장치,1995-03-01,79.4,85.7,60.9,,,,50.6,,,
전기기기 및 장치,1995-04-01,55.6,56.5,79.4,,,,85.7,,,
전기기기 및 장치,1995-05-01,78.4,75.4,55.6,60.9,,,56.5,50.6,,
전기기기 및 장치,1995-06-01,81.4,86.3,78.4,79.4,,,75.4,85.7,,
전기기기 및 장치,1995-07-01,87.5,78.7,81.4,55.6,,,86.3,56.5,,
전기기기 및 장치,1995-08-01,74.4,78.0,87.5,78.4,60.9,,78.7,75.4,50.6,
전기기기 및 장치,1995-09-01,68.0,69.0,74.4,81.4,79.4,,78.0,86.3,85.7,
전기기기 및 장치,1995-10-01,69.5,69.9,68.0,87.5,55.6,,69.0,78.7,56.5,
전기기기 및 장치,1995-11-01,75.0,78.7,69.5,74.4,78.4,,69.9,78.0,75.4,
전기기기 및 장치,1995-12-01,76.5,84.0,75.0,68.0,81.4,,78.7,69.0,86.3,
전기기기 및 장치,1996-01-01,68.1,66.9,76.5,69.5,87.5,,84.0,69.9,78.7,
전기기기 및 장치,1996-02-01,66.2,55.6,68.1,75.0,74.4,60.9,66.9,78.7,78.0,50.6
전기기기 및 장치,1996-03-01,69.6,73.6,66.2,76.5,68.0,79.4,55.6,84.0,69.0,85.7
전기기기 및 장치,1996-04-01,76.2,77.5,69.6,68.1,69.5,55.6,73.6,66.9,69.9,56.5
전기기기 및 장치,1996-05-01,71.8,68.9,76.2,66.2,75.0,78.4,77.5,55.6,78.7,75.4
전기기기 및 장치,1996-06-01,64.2,68.0,71.8,69.6,76.5,81.4,68.9,73.6,84.0,86.3
전기기기 및 장치,1996-07-01,85.6,78.4,64.2,76.2,68.1,87.5,68.0,77.5,66.9,78.7
전기기기 및 장치,1996-08-01,79.1,82.9,85.6,71.8,66.2,74.4,78.4,68.9,55.6,78.0
전기기기 및 장치,1996-09-01,80.0,77.0,79.1,64.2,69.6,68.0,82.9,68.0,73.6,69.0
전기기기 및 장치,1996-10-01,81.2,84.8,80.0,85.6,76.2,69.5,77.0,78.4,77.5,69.9
전기기기 및 장치,1996-11-01,58.5,61.5,81.2,79.1,71.8,75.0,84.8,82.9,68.9,78.7
전기기기 및 장치,1996-12-01,61.7,67.5,58.5,80.0,64.2,76.5,61.5,77.0,68.0,84.0
전기기기 및 장치,1997-01-01,86.6,85.7,61.7,81.2,85.6,68.1,67.5,84.8,78.4,66.9
전기기기 및 장치,1997-02-01,75.9,62.9,86.6,58.5,79.1,66.2,85.7,61.5,82.9,55.6
전기기기 및 장치,1997-03-01,79.5,84.0,75.9,61.7,80.0,69.6,62.9,67.5,77.0,73.6
전기기기 및 장치,1997-04-01,83.0,86.2,79.5,86.6,81.2,76.2,84.0,85.7,84.8,77.5
전기기기 및 장치,1997-05-01,85.9,80.6,83.0,75.9,58.5,71.8,86.2,62.9,61.5,68.9
전기기기 및 장치,1997-06-01,81.6,85.8,85.9,79.5,61.7,64.2,80.6,84.0,67.5,68.0
전기기기 및 장치,1997-07-01,78.4,71.4,81.6,83.0,86.6,85.6,85.8,86.2,85.7,78.4
