도메인,날짜,지수종류,돈,이동평균_3개월,이동평균_6개월,이동평균_12개월
전기기기 및 장치,1995-02-01,원지수 (2020=100),50.6,,,
전기기기 및 장치,1995-02-01,계절조정지수 (2020=100),60.9,,,
전기기기 및 장치,1995-03-01,원지수 (2020=100),85.7,,,
전기기기 및 장치,1995-03-01,계절조정지수 (2020=100),79.4,,,
전기기기 및 장치,1995-04-01,원지수 (2020=100),56.5,64.26666666666667,,
전기기기 및 장치,1995-04-01,계절조정지수 (2020=100),55.6,65.3,,
전기기기 및 장치,1995-05-01,원지수 (2020=100),75.4,72.53333333333335,,
전기기기 및 장치,1995-05-01,계절조정지수 (2020=100),78.4,71.13333333333334,,
전기기기 및 장치,1995-06-01,원지수 (2020=100),86.3,72.73333333333333,,
전기기기 및 장치,1995-06-01,계절조정지수 (2020=100),81.4,71.8,,
전기기기 및 장치,1995-07-01,원지수 (2020=100),78.7,80.13333333333333,72.2,
전기기기 및 장치,1995-07-01,계절조정지수 (2020=100),87.5,82.43333333333334,73.86666666666667,
전기기기 및 장치,1995-08-01,원지수 (2020=100),78.0,81.0,76.76666666666667,
전기기기 및 장치,1995-08-01,계절조정지수 (2020=100),74.4,81.10000000000001,76.11666666666667,
전기기기 및 장치,1995-09-01,원지수 (2020=100),69.0,75.23333333333333,73.98333333333333,
전기기기 및 장치,1995-09-01,계절조정지수 (2020=100),68.0,76.63333333333334,74.21666666666667,
전기기기 및 장치,1995-10-01,원지수 (2020=100),69.9,72.3,76.21666666666667,
전기기기 및 장치,1995-10-01,계절조정지수 (2020=100),69.5,70.63333333333334,76.53333333333333,
전기기기 및 장치,1995-11-01,원지수 (2020=100),78.7,72.53333333333333,76.76666666666667,
전기기기 및 장치,1995-11-01,계절조정지수 (2020=100),75.0,70.83333333333333,75.96666666666667,
전기기기 및 장치,1995-12-01,원지수 (2020=100),84.0,77.53333333333333,76.38333333333334,
전기기기 및 장치,1995-12-01,계절조정지수 (2020=100),76.5,73.66666666666667,75.14999999999999,
전기기기 및 장치,1996-01-01,원지수 (2020=100),66.9,76.53333333333333,74.41666666666667,73.30833333333334
전기기기 및 장치,1996-01-01,계절조정지수 (2020=100),68.1,73.2,71.91666666666667,72.89166666666667
전기기기 및 장치,1996-02-01,원지수 (2020=100),55.6,68.83333333333333,70.68333333333334,73.72500000000001
전기기기 및 장치,1996-02-01,계절조정지수 (2020=100),66.2,70.26666666666667,70.55,73.33333333333333
전기기기 및 장치,1996-03-01,원지수 (2020=100),73.6,65.36666666666666,71.45,72.71666666666665
전기기기 및 장치,1996-03-01,계절조정지수 (2020=100),69.6,67.96666666666665,70.81666666666666,72.51666666666667
전기기기 및 장치,1996-04-01,원지수 (2020=100),77.5,68.89999999999999,72.71666666666665,74.46666666666665
전기기기 및 장치,1996-04-01,계절조정지수 (2020=100),76.2,70.66666666666667,71.93333333333334,74.23333333333333
전기기기 및 장치,1996-05-01,원지수 (2020=100),68.9,73.33333333333333,71.08333333333333,73.925
전기기기 및 장치,1996-05-01,계절조정지수 (2020=100),71.8,72.53333333333335,71.39999999999999,73.68333333333334
전기기기 및 장치,1996-06-01,원지수 (2020=100),68.0,71.46666666666665,68.41666666666667,72.39999999999999
전기기기 및 장치,1996-06-01,계절조정지수 (2020=100),64.2,70.73333333333333,69.35000000000001,72.25
전기기기 및 장치,1996-07-01,원지수 (2020=100),78.4,71.76666666666667,70.33333333333333,72.375
전기기기 및 장치,1996-07-01,계절조정지수 (2020=100),85.6,73.86666666666666,72.26666666666667,72.09166666666665
전기기기 및 장치,1996-08-01,원지수 (2020=100),82.9,76.43333333333334,74.88333333333334,72.78333333333333
전기기기 및 장치,1996-08-01,계절조정지수 (2020=100),79.1,76.3,74.41666666666667,72.48333333333333
전기기기 및 장치,1996-09-01,원지수 (2020=100),77.0,79.43333333333334,75.45,73.45
전기기기 및 장치,1996-09-01,계절조정지수 (2020=100),80.0,81.56666666666666,76.14999999999999,73.48333333333333
전기기기 및 장치,1996-10-01,원지수 (2020=100),84.8,81.56666666666666,76.66666666666667,74.69166666666666
전기기기 및 장치,1996-10-01,계절조정지수 (2020=100),81.2,80.10000000000001,76.98333333333333,74.45833333333333
전기기기 및 장치,1996-11-01,원지수 (2020=100),61.5,74.43333333333332,75.43333333333334,73.25833333333333
전기기기 및 장치,1996-11-01,계절조정지수 (2020=100),58.5,73.23333333333333,74.76666666666667,73.08333333333333
전기기기 및 장치,1996-12-01,원지수 (2020=100),67.5,71.26666666666667,75.35000000000001,71.88333333333333
전기기기 및 장치,1996-12-01,계절조정지수 (2020=100),61.7,67.13333333333334,74.35,71.85000000000001
전기기기 및 장치,1997-01-01,원지수 (2020=100),85.7,71.56666666666666,76.56666666666666,73.45
전기기기 및 장치,1997-01-01,계절조정지수 (2020=100),86.6,68.93333333333334,74.51666666666667,73.39166666666667
전기기기 및 장치,1997-02-01,원지수 (2020=100),62.9,72.03333333333333,73.23333333333333,74.05833333333332
전기기기 및 장치,1997-02-01,계절조정지수 (2020=100),75.9,74.73333333333333,73.98333333333333,74.2
전기기기 및 장치,1997-03-01,원지수 (2020=100),84.0,77.53333333333332,74.39999999999999,74.925
전기기기 및 장치,1997-03-01,계절조정지수 (2020=100),79.5,80.66666666666667,73.89999999999999,75.02499999999999
전기기기 및 장치,1997-04-01,원지수 (2020=100),86.2,77.69999999999999,74.63333333333334,75.64999999999999
전기기기 및 장치,1997-04-01,계절조정지수 (2020=100),83.0,79.46666666666665,74.2,75.59166666666665
전기기기 및 장치,1997-05-01,원지수 (2020=100),80.6,83.59999999999998,77.81666666666666,76.625
전기기기 및 장치,1997-05-01,계절조정지수 (2020=100),85.9,82.80000000000001,78.76666666666667,76.76666666666667
전기기기 및 장치,1997-06-01,원지수 (2020=100),85.8,84.19999999999999,80.86666666666666,78.10833333333333
전기기기 및 장치,1997-06-01,계절조정지수 (2020=100),81.6,83.5,82.08333333333333,78.21666666666665
전기기기 및 장치,1997-07-01,원지수 (2020=100),71.4,79.26666666666667,78.48333333333333,77.52499999999999
전기기기 및 장치,1997-07-01,계절조정지수 (2020=100),78.4,81.96666666666668,80.71666666666665,77.61666666666667
전기기기 및 장치,1997-08-01,원지수 (2020=100),79.4,78.86666666666666,81.23333333333333,77.23333333333333
