year,application_lag1,application_lag2,corp_domestic_applications,corp_domestic_registrations,loan_avg,loan_avg_lag1,loan_avg_lag2,manufacturing_productivity,registration_lag1,registration_lag2,regular_avg_wage,rnd_total,rnd_total_by_industry_app_sw,rnd_total_by_industry_consulting,rnd_total_by_industry_embedded_sw,rnd_total_by_industry_info_svc,rnd_total_by_industry_programming_svc,rnd_total_by_industry_system_sw,rnd_total_by_industry_virtual_asset,rnd_total_lag1,rnd_total_lag1_x,rnd_total_lag1_y,rnd_total_lag2,rnd_total_lag2_x,rnd_total_lag2_y,service_productivity
1995,118519.0,115291.5,119855.5,67347.5,11.21,11.21,5.705,180.6,66229.0,64619.0,257.675,4935880.0,27901.3,867.0,90.0,1266.5,6890.5,34577.0,0.0,4935880.0,80491.0,7771841.5,4935880.0,40295.35,7721315.0,33.75
1996,118519.0,115291.5,119855.5,67347.5,11.21,11.21,11.21,180.6,66229.0,64619.0,257.675,4935880.0,27901.3,867.0,90.0,1266.5,6890.5,34577.0,0.0,4935880.0,80491.0,7771841.5,4935880.0,40295.35,7721315.0,33.75
1997,118519.0,115291.5,119855.5,67347.5,11.83,11.21,11.21,180.6,66229.0,64619.0,257.675,4935880.0,27901.3,867.0,90.0,1266.5,6890.5,34577.0,0.0,4935880.0,80491.0,7771841.5,4935880.0,40295.35,7721315.0,33.75
1998,118519.0,115291.5,119855.5,67347.5,15.18,11.83,11.21,124.2,66229.0,64619.0,257.675,4935880.0,27901.3,867.0,90.0,1266.5,6890.5,34577.0,0.0,4935880.0,80491.0,7771841.5,4935880.0,40295.35,7721315.0,33.75
1999,118519.0,115291.5,119855.5,67347.5,9.4,15.18,11.83,124.2,66229.0,64619.0,257.675,4935880.0,27901.3,867.0,90.0,1266.5,6890.5,34577.0,0.0,4935880.0,80491.0,7771841.5,4935880.0,40295.35,7721315.0,33.75
2000,118519.0,115291.5,119855.5,67347.5,8.55,9.4,15.18,124.2,66229.0,64619.0,257.675,4935880.0,27901.3,867.0,90.0,1266.5,6890.5,34577.0,0.0,4935880.0,80491.0,7771841.5,4935880.0,40295.35,7721315.0,33.75
2001,118519.0,115291.5,119855.5,67347.5,7.7,8.55,9.4,128.1,66229.0,64619.0,257.675,4935880.0,27901.3,867.0,90.0,1266.5,6890.5,34577.0,0.0,4935880.0,80491.0,7771841.5,4935880.0,40295.35,7721315.0,33.75
2002,118519.0,115291.5,84030.0,52596.0,6.7,7.7,8.55,135.0,66229.0,64619.0,176.9,4935880.0,27901.3,867.0,90.0,1266.5,6890.5,34577.0,0.0,4935880.0,80491.0,7771841.5,4935880.0,40295.35,7721315.0,33.75
2003,84030.0,115291.5,84030.0,52596.0,6.24,6.7,7.7,138.8,52596.0,64619.0,176.9,4935880.0,27901.3,867.0,90.0,1266.5,6890.5,34577.0,0.0,4935880.0,80491.0,7771841.5,4935880.0,40295.35,7721315.0,33.75
2004,84030.0,84030.0,84030.0,52596.0,5.9,6.24,6.7,148.2,52596.0,52596.0,176.9,4935880.0,27901.3,867.0,90.0,1266.5,6890.5,34577.0,0.0,4935880.0,80491.0,7771841.5,4935880.0,40295.35,7721315.0,33.75
