도메인,날짜,지수종류,돈
전기기기 및 장치,1995-02-01,원지수 (2020=100),50.6
전기기기 및 장치,1995-02-01,계절조정지수 (2020=100),60.9
전기기기 및 장치,1995-03-01,원지수 (2020=100),85.7
전기기기 및 장치,1995-03-01,계절조정지수 (2020=100),79.4
전기기기 및 장치,1995-04-01,원지수 (2020=100),56.5
전기기기 및 장치,1995-04-01,계절조정지수 (2020=100),55.6
전기기기 및 장치,1995-05-01,원지수 (2020=100),75.4
전기기기 및 장치,1995-05-01,계절조정지수 (2020=100),78.4
전기기기 및 장치,1995-06-01,원지수 (2020=100),86.3
전기기기 및 장치,1995-06-01,계절조정지수 (2020=100),81.4
전기기기 및 장치,1995-07-01,원지수 (2020=100),78.7
전기기기 및 장치,1995-07-01,계절조정지수 (2020=100),87.5
전기기기 및 장치,1995-08-01,원지수 (2020=100),78.0
전기기기 및 장치,1995-08-01,계절조정지수 (2020=100),74.4
전기기기 및 장치,1995-09-01,원지수 (2020=100),69.0
전기기기 및 장치,1995-09-01,계절조정지수 (2020=100),68.0
전기기기 및 장치,1995-10-01,원지수 (2020=100),69.9
전기기기 및 장치,1995-10-01,계절조정지수 (2020=100),69.5
전기기기 및 장치,1995-11-01,원지수 (2020=100),78.7
전기기기 및 장치,1995-11-01,계절조정지수 (2020=100),75.0
전기기기 및 장치,1995-12-01,원지수 (2020=100),84.0
전기기기 및 장치,1995-12-01,계절조정지수 (2020=100),76.5
전기기기 및 장치,1996-01-01,원지수 (2020=100),66.9
전기기기 및 장치,1996-01-01,계절조정지수 (2020=100),68.1
전기기기 및 장치,1996-02-01,원지수 (2020=100),55.6
전기기기 및 장치,1996-02-01,계절조정지수 (2020=100),66.2
전기기기 및 장치,1996-03-01,원지수 (2020=100),73.6
전기기기 및 장치,1996-03-01,계절조정지수 (2020=100),69.6
전기기기 및 장치,1996-04-01,원지수 (2020=100),77.5
전기기기 및 장치,1996-04-01,계절조정지수 (2020=100),76.2
전기기기 및 장치,1996-05-01,원지수 (2020=100),68.9
전기기기 및 장치,1996-05-01,계절조정지수 (2020=100),71.8
전기기기 및 장치,1996-06-01,원지수 (2020=100),68.0
전기기기 및 장치,1996-06-01,계절조정지수 (2020=100),64.2
전기기기 및 장치,1996-07-01,원지수 (2020=100),78.4
전기기기 및 장치,1996-07-01,계절조정지수 (2020=100),85.6
전기기기 및 장치,1996-08-01,원지수 (2020=100),82.9
전기기기 및 장치,1996-08-01,계절조정지수 (2020=100),79.1
전기기기 및 장치,1996-09-01,원지수 (2020=100),77.0
전기기기 및 장치,1996-09-01,계절조정지수 (2020=100),80.0
전기기기 및 장치,1996-10-01,원지수 (2020=100),84.8
전기기기 및 장치,1996-10-01,계절조정지수 (2020=100),81.2
전기기기 및 장치,1996-11-01,원지수 (2020=100),61.5
전기기기 및 장치,1996-11-01,계절조정지수 (2020=100),58.5
전기기기 및 장치,1996-12-01,원지수 (2020=100),67.5
전기기기 및 장치,1996-12-01,계절조정지수 (2020=100),61.7
전기기기 및 장치,1997-01-01,원지수 (2020=100),85.7
전기기기 및 장치,1997-01-01,계절조정지수 (2020=100),86.6
전기기기 및 장치,1997-02-01,원지수 (2020=100),62.9
전기기기 및 장치,1997-02-01,계절조정지수 (2020=100),75.9
전기기기 및 장치,1997-03-01,원지수 (2020=100),84.0
전기기기 및 장치,1997-03-01,계절조정지수 (2020=100),79.5
전기기기 및 장치,1997-04-01,원지수 (2020=100),86.2
전기기기 및 장치,1997-04-01,계절조정지수 (2020=100),83.0
전기기기 및 장치,1997-05-01,원지수 (2020=100),80.6
전기기기 및 장치,1997-05-01,계절조정지수 (2020=100),85.9
전기기기 및 장치,1997-06-01,원지수 (2020=100),85.8
전기기기 및 장치,1997-06-01,계절조정지수 (2020=100),81.6
전기기기 및 장치,1997-07-01,원지수 (2020=100),71.4
전기기기 및 장치,1997-07-01,계절조정지수 (2020=100),78.4
전기기기 및 장치,1997-08-01,원지수 (2020=100),79.4
전기기기 및 장치,1997-08-01,계절조정지수 (2020=100),77.1
전기기기 및 장치,1997-09-01,원지수 (2020=100),81.1
전기기기 및 장치,1997-09-01,계절조정지수 (2020=100),81.4
전기기기 및 장치,1997-10-01,원지수 (2020=100),50.8
전기기기 및 장치,1997-10-01,계절조정지수 (2020=100),49.0
전기기기 및 장치,1997-11-01,원지수 (2020=100),52.4
전기기기 및 장치,1997-11-01,계절조정지수 (2020=100),50.9
전기기기 및 장치,1997-12-01,원지수 (2020=100),81.9
전기기기 및 장치,1997-12-01,계절조정지수 (2020=100),75.7
전기기기 및 장치,1998-01-01,원지수 (2020=100),48.1
전기기기 및 장치,1998-01-01,계절조정지수 (2020=100),50.6
전기기기 및 장치,1998-02-01,원지수 (2020=100),48.4
전기기기 및 장치,1998-02-01,계절조정지수 (2020=100),56.3
전기기기 및 장치,1998-03-01,원지수 (2020=100),55.3
전기기기 및 장치,1998-03-01,계절조정지수 (2020=100),51.2
전기기기 및 장치,1998-04-01,원지수 (2020=100),35.7
전기기기 및 장치,1998-04-01,계절조정지수 (2020=100),33.7
전기기기 및 장치,1998-05-01,원지수 (2020=100),32.0
전기기기 및 장치,1998-05-01,계절조정지수 (2020=100),34.3
전기기기 및 장치,1998-06-01,원지수 (2020=100),37.9
전기기기 및 장치,1998-06-01,계절조정지수 (2020=100),36.3
전기기기 및 장치,1998-07-01,원지수 (2020=100),31.1
전기기기 및 장치,1998-07-01,계절조정지수 (2020=100),34.3
전기기기 및 장치,1998-08-01,원지수 (2020=100),38.1
전기기기 및 장치,1998-08-01,계절조정지수 (2020=100),37.0
전기기기 및 장치,1998-09-01,원지수 (2020=100),35.8
전기기기 및 장치,1998-09-01,계절조정지수 (2020=100),35.7
전기기기 및 장치,1998-10-01,원지수 (2020=100),42.3
전기기기 및 장치,1998-10-01,계절조정지수 (2020=100),39.9
전기기기 및 장치,1998-11-01,원지수 (2020=100),31.2
전기기기 및 장치,1998-11-01,계절조정지수 (2020=100),30.2
전기기기 및 장치,1998-12-01,원지수 (2020=100),36.8
전기기기 및 장치,1998-12-01,계절조정지수 (2020=100),33.8
전기기기 및 장치,1999-01-01,원지수 (2020=100),34.8
전기기기 및 장치,1999-01-01,계절조정지수 (2020=100),35.3
전기기기 및 장치,1999-02-01,원지수 (2020=100),54.7
