date,GDP,ICT_Production,ICT_Investment,CCSI,BSI_Composite,Corporate_Loan_Rate,Equipment_Investment_Index,productivity_index,Exchange_Rate
1995-01-01,182209.4,3587.3,2645.5,117.0,85.33333333333333,11.14,38.3,95.7,
1995-02-01,183367.46666666667,3698.9333333333334,2671.233333333333,117.0,85.33333333333333,11.14,38.3,95.7,
1995-03-01,184525.53333333333,3810.5666666666666,2696.9666666666667,117.0,85.33333333333333,11.14,47.7,95.7,
1995-04-01,185683.6,3922.2,2722.7,117.0,85.33333333333333,11.14,36.4,95.7,
1995-05-01,186985.43333333335,3957.2999999999997,2798.2,117.0,85.33333333333333,11.14,48.5,95.7,
1995-06-01,188287.26666666666,3992.4,2873.7,117.0,85.33333333333333,11.14,50.550000000000004,95.7,
1995-07-01,189589.1,4027.5,2949.2,117.0,85.33333333333333,11.14,53.6,95.7,
1995-08-01,190787.2,4061.5,2947.2666666666664,117.0,85.33333333333333,11.14,46.45,95.7,
1995-09-01,191985.3,4095.5,2945.3333333333335,117.0,85.33333333333333,11.14,43.6,95.7,
1995-10-01,193183.4,4129.5,2943.4,117.0,85.33333333333333,11.14,44.45,95.7,
1995-11-01,194476.73333333334,4182.566666666667,3017.133333333333,117.0,85.33333333333333,11.14,47.6,95.7,
1995-12-01,195770.06666666665,4235.633333333333,3090.866666666667,117.0,85.33333333333333,11.14,48.55,95.7,
1996-01-01,197063.4,4288.7,3164.6,117.0,85.33333333333333,11.14,43.15,95.7,
1996-02-01,198328.46666666667,4325.733333333334,3216.3333333333335,117.0,85.33333333333333,11.21,45.8,95.7,
1996-03-01,199593.53333333333,4362.766666666666,3268.0666666666666,117.0,85.33333333333333,11.11,46.4,95.7,
1996-04-01,200858.6,4399.8,3319.8,117.0,85.33333333333333,10.91,50.150000000000006,95.7,
1996-05-01,202094.36666666667,4424.266666666666,3361.166666666667,116.0,85.33333333333333,11.1,47.95,95.7,
1996-06-01,203330.13333333333,4448.733333333334,3402.5333333333333,115.0,85.33333333333333,11.15,44.6,95.7,
1996-07-01,204565.9,4473.2,3443.9,114.0,85.33333333333333,10.85,54.599999999999994,95.7,
1996-08-01,205763.56666666665,4532.033333333333,3462.2333333333336,112.33333333333333,85.33333333333333,10.86,52.65,95.7,
1996-09-01,206961.23333333334,4590.866666666667,3480.5666666666666,110.66666666666667,85.33333333333333,10.88,52.0,95.7,
