"통계분류(1)",통계분류(2),2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021
"통계분류(1)",통계분류(2),사업체 수,60점 미만,60~79점,80~99점,100점 이상,합계,평균,사업체 수,60점 미만,60~79점,80~99점,100~119점,120점 이상,합계,평균,사업체 수,60점 미만,60~79점,80~99점,100~119점,120점 이상,합계,평균,사업체 수,60점 미만,60~79점,80~99점,100~119점,120점 이상,합계,평균,사업체 수,60점 미만,60~79점,80~99점,100~119점,120점 이상,합계,평균,사업체 수,60점 미만,60~79점,80~99점,100~119점,120점 이상,합계,평균,사업체 수,60점 미만,60~79점,80~99점,100~119점,120점 이상,합계,평균,사업체 수,60점 미만,60~79점,80~99점,100~119점,120점 이상,합계,평균,사업체 수,60점 미만,60~79점,80~99점,100~119점,120점 이상,합계,평균
"전체",소계,6309,11.8,18,32.9,37.3,100,84.9,5688,11.9,17.9,39.9,25.8,4.5,100,83.8,5841,10.7,19.1,36.1,28.1,6,100,84.6,7229,8.4,13.4,33.7,37.7,6.8,100,90,7234,7.4,15.9,34.8,38.9,3.1,100,87.7,7256,5.5,14.8,38.4,38.5,2.9,100,88.4,7323,31,18.8,30,18.7,1.5,100,69.7,6329,11.7,16.3,32.3,37.8,1.9,100,84.3,6627,6.1,11.3,28.7,46,7.9,100,92.4
"업체 형태별",개인,3693,16.6,21.6,34.9,26.9,100,79.7,2788,15.7,19,43,19.7,2.6,100,79.7,2721,11.1,25.6,38.9,20.3,4.1,100,81.5,3026,10.6,18.4,38.3,28.3,4.5,100,85.8,3342,9.5,22.4,36.5,29.2,2.4,100,83.7,3052,8.2,18.8,41.9,30.1,1,100,84.2,3269,40.3,23.4,25.2,10.4,0.7,100,62.5,2626,13.9,22.4,32.5,30.4,0.7,100,80.5,2597,7.3,13.6,35.3,37.6,6.2,100,88.9
"업체 형태별",회사법인,2580,5.2,13,30.4,51.4,100,92.1,2888,8.4,16.8,36.9,31.6,6.3,100,87.7,3100,7.6,14.5,34.4,35.3,8.2,100,87.2,4128,6.8,9.8,30.5,44.5,8.4,100,93,3826,5.7,10.4,33.3,46.8,3.7,100,91,4140,3.9,11.4,35.9,44.8,4,100,91.4,3917,22.2,15.4,34.6,25.5,2.3,100,76.4,3538,9.7,11.3,32.6,43.6,2.8,100,87.5,3972,5.4,9.8,24.4,51.4,9,100,94.6
"업체 형태별",회사외법인,36,0,11.9,0,88.1,100,103,12,0,50.9,17.9,31.2,0,100,82.9,20,0,20,0,80,0,100,91.4,76,7.9,6.9,30.6,46.7,7.9,100,92.2,66,0,1.5,29.2,66.8,2.5,100,97.7,64,0,9.5,27.1,58.1,5.2,100,94.2,137,59.6,7.5,11.4,21.6,0,100,52.5,166,18.9,24.4,22.7,32.8,1.2,100,77,58,2.3,7.4,23.9,55.9,10.5,100,97.1
"업체 구분별",단독사업체,6026,11.9,18.5,33.2,36.5,100,84.6,5487,12.2,17.8,40.1,25.4,4.5,100,83.6,5585,9.4,19.6,36.4,28.6,6,100,84.4,6889,8.7,13.8,33.6,37.2,6.7,100,89.7,6907,7.7,16.4,35,38.1,2.8,100,87.2,6939,5.8,14.9,38.5,38.4,2.6,100,88.1,7035,31.5,18.8,29.7,18.5,1.5,100,69.4,6122,11.8,16.2,32.4,37.8,1.8,100,84.3,6389,6.3,11.5,28.9,45.5,7.8,100,92.1
"업체 구분별",본사,181,13.6,8,18.8,59.6,100,89.3,133,6.3,26.5,28.8,38.5,0,100,86.1,180,6.7,21.7,36.7,23.3,11.6,100,84.9,245,3.8,6.6,31.1,52.8,5.7,100,93.9,233,0,5.1,29.2,52,13.8,100,99.6,227,4.9,9.4,36.4,45.7,3.6,100,92.6,164,4,22.7,47,23,3.3,100,84.1,68,1.5,5.9,23.3,60.5,8.8,100,97.6,186,2.9,4.7,24.3,58.6,9.6,100,100.3
"업체 구분별",지역본사,14,0,49.4,0,50.6,100,90.2,16,0,25.3,74.7,0,0,100,81.9,3,0,0,50,50,0,100,97.1,19,0,0,79.6,20.4,0,100,84.1,20,0,0,14.1,77.7,8.3,100,103.8,79,0,0,27.3,55.1,17.5,100,101.9,12,100,0,0,0,0,100,42.7,45,31.4,36.5,29.9,2.2,-,100,65.3,13,-,9.8,10.5,79.7,-,100,95
"업체 구분별",지사,87,7.9,2,44.2,45.9,100,93.5,52,7.9,5.2,33.8,44.7,8.5,100,92.6,73,0,15.4,23.1,46.2,15.3,100,96.9,77,0,0,41.5,42,16.5,100,102.8,74,3.5,7.5,32.8,56.3,0,100,90.9,10,0,0,100,0,0,100,90.6,112,33.8,11.9,26.1,26.2,2,100,72.6,94,4.1,17,32.9,43.9,2.2,100,88,40,-,-,20.8,57.4,21.8,100,103.6
"벤처 여부",대상,309,4.4,15.9,22.9,56.8,100,93.1,256,10.5,13.1,27,35.9,13.4,100,92.7,356,2.7,6.3,39.3,33.9,17.8,100,96.1,367,10.2,6.5,29.1,41,13.2,100,94.1,516,7.7,9.1,28.2,46.3,8.7,100,92.2,379,4.2,11.7,31.4,48.1,4.6,100,92.5,190,22.2,10.9,32.2,32,2.7,100,79.6,194,8.5,10,28.9,44.2,8.4,100,91.2,306,8.1,6.8,28.5,43.7,12.9,100,95.1
"벤처 여부",비대상,6000,12.2,18.1,33.4,36.3,100,84.5,5432,12,18.2,40.5,25.3,4,100,83.3,5485,9.6,20.5,36.1,28.2,5.6,100,83.8,6862,8.3,13.8,34,37.6,6.5,100,89.8,6718,7.4,16.4,35.3,38.3,2.7,100,87.3,6877,5.8,14.7,38.7,38.2,2.7,100,88.2,7133,31.2,19,29.9,18.3,1.5,100,69.5,6135,11.8,16.5,32.4,37.6,1.7,100,84.1,6321,6,11.5,28.7,46.1,7.7,100,92.3
"설립 연도별",1979년 이전,90,1.7,21,48.9,28.5,100,84.6,40,0,23.3,47.8,28.9,0,100,85.4,52,3.7,11.1,48.1,37.1,0,100,87.8,61,20.7,1.7,50.3,27.3,0,100,74,64,17,18.3,39.1,23.1,2.5,100,78.2,54,7,29.6,39.5,24,0,100,81.7,68,31.2,13.5,43.1,12.3,0,100,69.1,72,23.2,24.1,16.2,36.5,-,100,75.4,80,8.5,7.7,37.3,43.3,3.2,100,89.2
"설립 연도별",1980~1989년,211,18.3,20.1,33.4,28.2,100,79.9,149,10.8,26.7,38.6,23.3,0.7,100,78.3,195,8,25.3,36,28,2.7,100,80.9,231,11.3,23.1,44,17.8,3.9,100,81.6,247,15.3,20.3,39.1,24.4,0.9,100,80.5,211,5.9,31.4,36.5,25.2,1,100,82.5,261,46,18.5,20.9,14.6,0,100,61.1,182,24.9,18.7,31.3,20.4,4.8,100,76.5,228,11,12.5,23.6,47.9,4.9,100,89.8
"설립 연도별",1990~1999년,1049,16.6,15.5,35.4,32.5,100,82.2,738,13.9,22,40.5,20.6,2.9,100,80.3,824,8.4,26.2,38,24.3,3.1,100,82,766,9.6,16.8,34.2,36.8,2.7,100,85.2,935,8.2,14.6,45.9,31.2,0.2,100,85.3,768,2.9,16.5,42.3,36.8,1.6,100,87.1,960,38.9,20.8,29,10.7,0.5,100,64.3,629,14.1,13.7,35.5,34.6,2,100,82.9,755,2.3,14,32.8,44.5,6.3,100,92.6
"설립 연도별",2000~2009년,3390,9.8,18.7,32.7,38.8,100,86.4,2666,11.3,17.1,43.6,24.5,3.5,100,83.1,2407,8.7,18.5,37.1,28.8,6.9,100,83.8,2801,7.8,13,37.4,36.1,5.7,100,88.8,2649,8.4,17.6,35.6,37,1.5,100,85.5,2331,6.1,12.9,40.9,38.2,1.9,100,88.1,2793,31.7,19.5,30.6,16.3,1.8,100,69,2389,11.2,18.2,34.7,34,1.9,100,83.3,2083,6,10,27.5,49.7,6.8,100,93.1
"설립 연도별",2010년 이후,1569,12.8,17.8,30.5,38.9,100,84.1,2095,12.4,16.8,34.9,29.4,6.5,100,86.1,2363,10.5,17.7,34.2,29.8,7.8,100,86.4,3369,8.2,12.5,29.5,40.9,9,100,93,3339,5.6,14.6,30.6,43.8,5.4,100,90.8,3893,5.9,14,36.1,40.3,3.7,100,89.3,3241,26.9,17.7,30.1,23.5,1.8,100,72.7,3058,10.5,15,30.2,42.5,1.8,100,86.1,3482,6.6,11.4,28.6,44.1,9.3,100,92.1
