"통계분류(1)","통계분류(2)",통계분류(1),통계분류(2),2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"전체","소계",평균광고경기체감도,상반기,51,51,53,51,51,58,59,57,57,58
"전체","소계",평균광고경기체감도,하반기,51,50,52,49,50,58,60,55,55,57
"전체","소계",평균광고경기체감도,내년예상,55,51,56,49,54,61,62,59,59,52
"전체","소계",광고경기전망지수,소계,110.2,102.6,109.4,101.3,106.9,106.9,107.6,108.8,108.8,
"기업형태","개인",평균광고경기체감도,상반기,49,49,51,49,50,57,60,57,57,55
"기업형태","개인",평균광고경기체감도,하반기,49,48,50,46,49,57,60,54,54,53
"기업형태","개인",평균광고경기체감도,내년예상,52,49,53,46,52,59,62,59,59,49
"기업형태","개인",광고경기전망지수,소계,107.1,102.1,109.7,99.2,106.6,105,106.5,109,109,
"기업형태","회사법인",평균광고경기체감도,상반기,54,59,59,56,51,60,59,55,55,62
"기업형태","회사법인",평균광고경기체감도,하반기,56,58,59,56,53,60,61,56,56,60
"기업형태","회사법인",평균광고경기체감도,내년예상,61,61,63,59,59,64,64,58,58,56
"기업형태","회사법인",광고경기전망지수,소계,115.4,104.8,109,107.4,116.8,110.6,110,108.4,108.4,
"기업형태","회사외법인",평균광고경기체감도,상반기,47,56,57,58,80,50,55,64,64,62
"기업형태","회사외법인",평균광고경기체감도,하반기,47,49,59,55,85,70,51,71,71,61
"기업형태","회사외법인",평균광고경기체감도,내년예상,50,46,59,56,88,70,57,71,71,55
"기업형태","회사외법인",광고경기전망지수,소계,126,84.9,107.5,94.6,106.8,114,108.6,107.6,107.6,
"본사유무","단독사업체",평균광고경기체감도,상반기,50,51,52,51,51,58,59,57,57,58
"본사유무","단독사업체",평균광고경기체감도,하반기,51,50,52,49,50,58,60,54,54,57
"본사유무","단독사업체",평균광고경기체감도,내년예상,55,51,55,49,53,60,62,59,59,52
"본사유무","단독사업체",광고경기전망지수,소계,110.2,102.5,109.5,101.1,108.5,106.9,107.7,108.8,108.8,
"본사유무","공장, 지사, 영업소",평균광고경기체감도,상반기,59,55,60,56,68,64,56,58,58,57
"본사유무","공장, 지사, 영업소",평균광고경기체감도,하반기,57,53,56,55,72,64,59,60,60,51
"본사유무","공장, 지사, 영업소",평균광고경기체감도,내년예상,64,58,58,57,67,67,61,63,63,47
"본사유무","공장, 지사, 영업소",광고경기전망지수,소계,112.5,109.4,108.1,100.8,94.6,106,104.5,110.7,110.7,
"본사유무","본사, 본점, 본부",평균광고경기체감도,상반기,57,59,58,55,46,66,65,60,60,63
"본사유무","본사, 본점, 본부",평균광고경기체감도,하반기,57,57,57,59,49,67,68,62,62,63
"본사유무","본사, 본점, 본부",평균광고경기체감도,내년예상,59,59,65,59,59,72,71,64,64,58
"본사유무","본사, 본점, 본부",광고경기전망지수,소계,106.7,103.1,112,107.6,134.7,108.5,108,109.6,109.6,
"벤처기업지정여부","대상",평균광고경기체감도,상반기,53,53,60,53,51,54,62,54,54,58
"벤처기업지정여부","대상",평균광고경기체감도,하반기,60,53,60,50,54,57,66,55,55,58
"벤처기업지정여부","대상",평균광고경기체감도,내년예상,63,53,67,51,57,60,70,60,60,52
"벤처기업지정여부","대상",광고경기전망지수,소계,111.2,101.5,111.1,94,115.3,108.1,110.1,114.2,114.2,
"벤처기업지정여부","비대상",평균광고경기체감도,상반기,51,51,52,51,50,58,59,57,57,58
"벤처기업지정여부","비대상",평균광고경기체감도,하반기,51,50,52,49,50,58,60,55,55,57
"벤처기업지정여부","비대상",평균광고경기체감도,내년예상,55,51,55,49,53,61,62,59,59,52
"벤처기업지정여부","비대상",광고경기전망지수,소계,110.2,102.7,109.6,101,108.7,106.8,107.5,108.6,108.6,
"설립연도","1979년 이전",평균광고경기체감도,상반기,54,48,50,51,53,65,62,59,59,62
"설립연도","1979년 이전",평균광고경기체감도,하반기,57,47,48,46,52,64,61,57,57,61
"설립연도","1979년 이전",평균광고경기체감도,내년예상,62,44,52,47,53,65,65,63,63,59
"설립연도","1979년 이전",광고경기전망지수,소계,115.5,91.4,112.6,106.3,102,99.9,107,106.3,106.3,
"설립연도","1980~1989년",평균광고경기체감도,상반기,51,49,49,51,52,55,57,58,58,63
"설립연도","1980~1989년",평균광고경기체감도,하반기,51,47,49,49,51,55,61,56,56,60
"설립연도","1980~1989년",평균광고경기체감도,내년예상,56,47,51,47,53,56,62,61,61,55
"설립연도","1980~1989년",광고경기전망지수,소계,109.4,100.4,104.9,96.1,104.7,103,106.8,110,110,
"설립연도","1990~1994년",평균광고경기체감도,상반기,50,49,52,50,50,59,65,60,60,58
"설립연도","1990~1994년",평균광고경기체감도,하반기,50,48,50,48,49,60,64,56,56,58
"설립연도","1990~1994년",평균광고경기체감도,내년예상,54,48,54,48,53,61,66,61,61,54
"설립연도","1990~1994년",광고경기전망지수,소계,107.6,100.8,107.6,99.7,110.3,101.9,102.7,106.3,106.3,
"설립연도","1995~1999년",평균광고경기체감도,상반기,,50,51,50,50,57,61,57,57,58
"설립연도","1995~1999년",평균광고경기체감도,하반기,,49,51,48,50,57,60,55,55,57
"설립연도","1995~1999년",평균광고경기체감도,내년예상,,50,54,48,52,60,63,59,59,53
"설립연도","1995~1999년",광고경기전망지수,소계,,101.3,110.3,98.4,107,107.6,106.1,107,107,
"설립연도","1995~2000년",평균광고경기체감도,상반기,51,,,,,,,,,
"설립연도","1995~2000년",평균광고경기체감도,하반기,51,,,,,,,,,
