Date,corporate_loans_lagged_금리(연리%),corporate_loans_lagged_금리(연리%)_lag_6,corporate_loans_long_금리(연리%),GFCF_ICT_Real_long_GFCF_Real,GFCF_Real_ma6_GFCF_Real,GFCF_Real_ma6_GFCF_Real_6년_이동평균,ict_수입액 (백만US$),ict_수출액 (백만US$),info_comm_value,investment_final_전기기기 및 장치_계절조정지수 (2020=100),investment_final_전기기기 및 장치_원지수 (2020=100),investment_final_컴퓨터사무용기계_계절조정지수 (2020=100),investment_final_컴퓨터사무용기계_원지수 (2020=100),investment_final_특수산업용기계_계절조정지수 (2020=100),investment_final_특수산업용기계_원지수 (2020=100),investment_lagged_계절조정지수 (2020=100)_전기기기 및 장치,investment_lagged_계절조정지수 (2020=100)_컴퓨터사무용기계,investment_lagged_계절조정지수 (2020=100)_특수산업용기계,investment_lagged_원지수 (2020=100)_전기기기 및 장치,investment_lagged_원지수 (2020=100)_컴퓨터사무용기계,investment_lagged_원지수 (2020=100)_특수산업용기계,investment_lagged_계절조정지수 (2020=100)_lag_1_전기기기 및 장치,investment_lagged_계절조정지수 (2020=100)_lag_1_컴퓨터사무용기계,investment_lagged_계절조정지수 (2020=100)_lag_1_특수산업용기계,investment_lagged_계절조정지수 (2020=100)_lag_3_전기기기 및 장치,investment_lagged_계절조정지수 (2020=100)_lag_3_컴퓨터사무용기계,investment_lagged_계절조정지수 (2020=100)_lag_3_특수산업용기계,investment_lagged_계절조정지수 (2020=100)_lag_6_전기기기 및 장치,investment_lagged_계절조정지수 (2020=100)_lag_6_컴퓨터사무용기계,investment_lagged_계절조정지수 (2020=100)_lag_6_특수산업용기계,investment_lagged_계절조정지수 (2020=100)_lag_12_전기기기 및 장치,investment_lagged_계절조정지수 (2020=100)_lag_12_컴퓨터사무용기계,investment_lagged_계절조정지수 (2020=100)_lag_12_특수산업용기계,investment_lagged_원지수 (2020=100)_lag_1_전기기기 및 장치,investment_lagged_원지수 (2020=100)_lag_1_컴퓨터사무용기계,investment_lagged_원지수 (2020=100)_lag_1_특수산업용기계,investment_lagged_원지수 (2020=100)_lag_3_전기기기 및 장치,investment_lagged_원지수 (2020=100)_lag_3_컴퓨터사무용기계,investment_lagged_원지수 (2020=100)_lag_3_특수산업용기계,investment_lagged_원지수 (2020=100)_lag_6_전기기기 및 장치,investment_lagged_원지수 (2020=100)_lag_6_컴퓨터사무용기계,investment_lagged_원지수 (2020=100)_lag_6_특수산업용기계,investment_lagged_원지수 (2020=100)_lag_12_전기기기 및 장치,investment_lagged_원지수 (2020=100)_lag_12_컴퓨터사무용기계,investment_lagged_원지수 (2020=100)_lag_12_특수산업용기계,investment_ma_돈_전기기기 및 장치_원지수 (2020=100),investment_ma_돈_전기기기 및 장치_계절조정지수 (2020=100),investment_ma_돈_컴퓨터사무용기계_원지수 (2020=100),investment_ma_돈_컴퓨터사무용기계_계절조정지수 (2020=100),investment_ma_돈_특수산업용기계_원지수 (2020=100),investment_ma_돈_특수산업용기계_계절조정지수 (2020=100),investment_ma_이동평균_3개월_전기기기 및 장치_원지수 (2020=100),investment_ma_이동평균_3개월_전기기기 및 장치_계절조정지수 (2020=100),investment_ma_이동평균_3개월_컴퓨터사무용기계_원지수 (2020=100),investment_ma_이동평균_3개월_컴퓨터사무용기계_계절조정지수 (2020=100),investment_ma_이동평균_3개월_특수산업용기계_원지수 (2020=100),investment_ma_이동평균_3개월_특수산업용기계_계절조정지수 (2020=100),investment_ma_이동평균_6개월_전기기기 및 장치_원지수 (2020=100),investment_ma_이동평균_6개월_전기기기 및 장치_계절조정지수 (2020=100),investment_ma_이동평균_6개월_컴퓨터사무용기계_원지수 (2020=100),investment_ma_이동평균_6개월_컴퓨터사무용기계_계절조정지수 (2020=100),investment_ma_이동평균_6개월_특수산업용기계_원지수 (2020=100),investment_ma_이동평균_6개월_특수산업용기계_계절조정지수 (2020=100),investment_ma_이동평균_12개월_전기기기 및 장치_원지수 (2020=100),investment_ma_이동평균_12개월_전기기기 및 장치_계절조정지수 (2020=100),investment_ma_이동평균_12개월_컴퓨터사무용기계_원지수 (2020=100),investment_ma_이동평균_12개월_컴퓨터사무용기계_계절조정지수 (2020=100),investment_ma_이동평균_12개월_특수산업용기계_원지수 (2020=100),investment_ma_이동평균_12개월_특수산업용기계_계절조정지수 (2020=100),exchange_rate_lagged_환율,exchange_rate_lagged_환율_lag_1,exchange_rate_lagged_환율_lag_6,exchange_rate_long_환율,software_expenditure,gdp_통신업,application_lag1,application_lag2,corp_domestic_applications,corp_domestic_registrations,loan_avg,loan_avg_lag1,loan_avg_lag2,manufacturing_productivity,registration_lag1,registration_lag2,regular_avg_wage,rnd_total,rnd_total_by_industry_app_sw,rnd_total_by_industry_consulting,rnd_total_by_industry_embedded_sw,rnd_total_by_industry_info_svc,rnd_total_by_industry_programming_svc,rnd_total_by_industry_system_sw,rnd_total_by_industry_virtual_asset,rnd_total_lag1,rnd_total_lag1_x,rnd_total_lag1_y,rnd_total_lag2,rnd_total_lag2_x,rnd_total_lag2_y,service_productivity,application_lag1_decomposed,application_lag2_decomposed,corp_domestic_applications_decomposed,corp_domestic_registrations_decomposed,loan_avg_decomposed,loan_avg_lag1_decomposed,loan_avg_lag2_decomposed,manufacturing_productivity_decomposed,registration_lag1_decomposed,registration_lag2_decomposed,regular_avg_wage_decomposed,rnd_total_decomposed,rnd_total_by_industry_app_sw_decomposed,rnd_total_by_industry_consulting_decomposed,rnd_total_by_industry_embedded_sw_decomposed,rnd_total_by_industry_info_svc_decomposed,rnd_total_by_industry_programming_svc_decomposed,rnd_total_by_industry_system_sw_decomposed,rnd_total_by_industry_virtual_asset_decomposed,rnd_total_lag1_decomposed,rnd_total_lag1_x_decomposed,rnd_total_lag1_y_decomposed,rnd_total_lag2_decomposed,rnd_total_lag2_x_decomposed,rnd_total_lag2_y_decomposed,service_productivity_decomposed,GDP,ICT_Production,ICT_Investment,CCSI,BSI_Composite,Corporate_Loan_Rate,productivity_index,Exchange_Rate,BSI_6M_MA,GDP_12M_MA,Exchange_Rate_12M_Std,CCSI_3M_Momentum,ICT_Prod_6M_Momentum,Loan_Rate_Lag_3M
1995-01-01,11.14,11.14,11.14,10379.4,10379.4,13507.583333333,32366.0,51930.0,2600.8,60.9,50.6,15.7,15.3,80.1,71.0,60.9,15.7,80.1,50.6,15.3,71.0,60.9,15.7,80.1,60.9,15.7,80.1,60.9,15.7,80.1,60.9,15.7,80.1,50.6,15.3,71.0,50.6,15.3,71.0,50.6,15.3,71.0,50.6,15.3,71.0,50.6,60.9,15.3,15.7,71.0,80.1,64.266666666667,65.3,17.066666666667,16.3,74.4,76.566666666667,72.2,73.866666666667,17.966666666667,17.816666666667,65.8,64.616666666667,73.308333333333,72.891666666667,18.6,18.583333333333,56.408333333333,56.241666666667,770.94,770.94,770.94,770.94,273569.0,430.4,118519.0,115291.5,119855.5,67347.5,11.21,11.21,5.705,180.6,66229.0,64619.0,257.675,4935880.0,27901.3,867.0,90.0,1266.5,6890.5,34577.0,0.0,4935880.0,80491.0,7771841.5,4935880.0,40295.35,7721315.0,33.75,118539.73325557,115327.7945080432,119869.18634310093,67352.14075694683,12.227378070970852,11.799812633789069,7.758910817853479,171.25796789914452,66188.11714582064,64646.95130483935,257.2713155198259,5086057.823871042,27462.91735420177,865.535213922881,84.58851301381526,1345.577799210468,6497.710562408183,34919.08739942283,10.06127641368737,4569870.702797188,84126.1337201097,7790638.03544143,5485927.438837664,37823.29142211282,7743193.171677576,33.84176038711759,182209.4,3587.3,2645.5,77.04356887473621,88.60032975495356,11.116655402250522,95.7,770.94,81.86491470103145,186751.875,10.272816509009552,11.53392488398903,370.0,11.116655402250522
1995-02-01,11.14,11.14,11.14,10497.341666667,10497.341666667,13507.583333333,32366.0,51930.0,2652.2333333333,60.9,50.6,15.7,15.3,80.1,71.0,60.9,15.7,80.1,50.6,15.3,71.0,60.9,15.7,80.1,60.9,15.7,80.1,60.9,15.7,80.1,60.9,15.7,80.1,50.6,15.3,71.0,50.6,15.3,71.0,50.6,15.3,71.0,50.6,15.3,71.0,50.6,60.9,15.3,15.7,71.0,80.1,64.266666666667,65.3,17.066666666667,16.3,74.4,76.566666666667,72.2,73.866666666667,17.966666666667,17.816666666667,65.8,64.616666666667,73.308333333333,72.891666666667,18.6,18.583333333333,56.408333333333,56.241666666667,773.78916666667,770.94,770.94,773.78916666667,273569.0,439.43333333333,118521.38985054853,115290.923749034,119846.18837039587,67343.69054175839,12.179850854934818,11.74526404817435,7.560960260360786,178.1015095303346,66229.93352898568,64618.78318322107,257.6667299420701,4935880.047590891,27901.448113235107,867.2284239182659,90.02160435977996,1266.4112829753865,6890.387410204357,34577.08885848936,-0.2204156841246398,4935880.089489089,80490.74751247924,7771841.769260145,4935879.97588473,40295.25185481282,7721315.424489395,33.87113909982833,118529.07738324984,115285.38244852626,119815.7075106659,67330.73252033675,12.195003654079672,11.801451240256366,7.932860599672217,172.23746686433952,66243.25887775481,64616.27585085234,257.5156329661164,4923848.954223721,27937.35736041043,867.2129719610192,90.42731259272676,1260.1869378605236,6921.727475515931,34547.9966332245,-1.3878249281022446,4964807.651233734,80194.55898848882,7770274.946903915,4854634.440805148,40497.58351999697,7719591.686158746,33.85324263211972,182209.4,3587.3,2645.5,83.52626520041488,87.15077980719701,11.393073097216506,95.7,773.7891666666667,81.86491470103145,186751.875,10.272816509009552,11.53392488398903,370.0,11.116655402250522
1995-03-01,11.14,11.14,11.14,10615.283333333,10615.283333333,13507.583333333,32366.0,51930.0,2703.6666666667,79.4,85.7,16.0,18.0,80.1,71.0,79.4,16.0,80.1,85.7,18.0,71.0,60.9,15.7,80.1,60.9,15.7,80.1,60.9,15.7,80.1,60.9,15.7,80.1,50.6,15.3,71.0,50.6,15.3,71.0,50.6,15.3,71.0,50.6,15.3,71.0,85.7,79.4,18.0,16.0,71.0,80.1,64.266666666667,65.3,17.066666666667,16.3,74.4,76.566666666667,72.2,73.866666666667,17.966666666667,17.816666666667,65.8,64.616666666667,73.308333333333,72.891666666667,18.6,18.583333333333,56.408333333333,56.241666666667,776.63833333333,770.94,770.94,776.63833333333,273569.0,448.46666666667,118522.99885132296,115290.53588736754,119839.91783807232,67341.1269541957,12.17120863209706,11.772370233985512,7.788030203208829,176.50383455514438,66230.56144427859,64618.63745384606,257.6124070716104,4935880.0359309055,27901.43293420761,867.2060849251798,90.01952866556816,1266.4199576801286,6890.398948914438,34577.080170906855,-0.1978236997848231,4935880.068353673,80490.77045514506,7771841.6954626,4935879.981580243,40295.26145002497,7721315.320487522,33.855753851404785,118522.13763819658,115277.81457702404,119811.32527569403,67330.19382871939,12.16760534776606,11.805352656761336,8.106880545125124,172.97490420201498,66241.34880196444,64609.06781610232,257.50305748339366,4919275.874065717,27951.74327913636,867.3540455168264,90.66287666318142,1255.9262988855132,6939.691252938441,34530.47481853659,-1.3672750778041125,4981130.882914279,80032.67061494863,7769232.025440087,4834884.050458496,40611.96715883831,7718502.095525737,33.842517145757206,182209.4,3587.3,2645.5,80.72355267547324,84.0553214164529,11.207245587611778,95.7,776.6383333333333,81.86491470103145,186751.875,10.272816509009552,11.53392488398903,370.0,11.116655402250522
1995-04-01,11.14,11.14,11.14,10733.225,10733.225,13507.583333333,32366.0,51930.0,2755.1,55.6,56.5,17.2,17.9,80.1,71.0,55.6,17.2,80.1,56.5,17.9,71.0,79.4,16.0,80.1,60.9,15.7,80.1,60.9,15.7,80.1,60.9,15.7,80.1,85.7,18.0,71.0,50.6,15.3,71.0,50.6,15.3,71.0,50.6,15.3,71.0,56.5,55.6,17.9,17.2,71.0,80.1,64.266666666667,65.3,17.066666666667,16.3,74.4,76.566666666667,72.2,73.866666666667,17.966666666667,17.816666666667,65.8,64.616666666667,73.308333333333,72.891666666667,18.6,18.583333333333,56.408333333333,56.241666666667,779.4875,770.94,770.94,779.4875,273569.0,457.5,118524.22777202884,115290.23968921317,119835.12800410984,67339.16935847767,12.159382003138909,11.799403068351994,8.030793203316886,175.30633920073518,66231.04080980974,64618.52624242663,257.56190616998066,4935880.023829627,27901.41670387989,867.1821669007405,90.01730511335275,1266.4292456017183,6890.411286789484,34577.07086916791,-0.1736670925694622,4935880.046382018,80490.79507028357,7771841.619243335,4935879.987501103,40295.27172356693,7721315.212549509,33.83936335374455,118522.4637890672,115278.34628647228,119814.20093529992,67331.32785933393,12.138310479774423,11.807460272326605,8.280016485333807,173.73619463257558,66243.76151946805,64609.53805818565,257.51987255272246,4909950.966326166,27979.16282397335,867.4619501182129,90.98360830425456,1251.605668932899,6962.485165569591,34512.01723868037,-1.879778616115213,5002398.893883046,79822.34010784276,7768256.317535808,4807239.388284003,40752.888918718505,7717260.243220257,33.83216881725455,183367.46666666667,3698.933333333333,2671.233333333333,88.57749375872524,75.35197882849768,10.973405949246407,95.7,779.4875000000001,81.86491470103145,186751.875,10.272816509009552,11.53392488398903,370.0,11.116655402250522
1995-05-01,11.14,11.14,11.14,10851.166666667,10851.166666667,13507.583333333,32366.0,51930.0,2829.0,78.4,75.4,18.6,18.8,80.1,71.0,78.4,18.6,80.1,75.4,18.8,71.0,55.6,17.2,80.1,60.9,15.7,80.1,60.9,15.7,80.1,60.9,15.7,80.1,56.5,17.9,71.0,50.6,15.3,71.0,50.6,15.3,71.0,50.6,15.3,71.0,75.4,78.4,18.8,18.6,71.0,80.1,72.533333333333,71.133333333333,18.233333333333,17.266666666667,74.4,76.566666666667,72.2,73.866666666667,17.966666666667,17.816666666667,65.8,64.616666666667,73.308333333333,72.891666666667,18.6,18.583333333333,56.408333333333,56.241666666667,782.33666666667,770.94,770.94,782.33666666667,273569.0,466.3,118524.91803335412,115290.07337209932,119832.43699361126,67338.07032836159,12.145721103190802,11.822632132688303,8.257202138139503,174.6620691526276,66231.3097872653,64618.4638916112,257.52216941050176,4935880.012908822,27901.40156507134,867.15982524095,90.01522696044591,1266.4379214304026,6890.422794913155,34577.06218040294,-0.1511351613982751,4935880.026516627,80490.8181144013,7771841.550837732,4935879.992854375,40295.28132010408,7721315.115140805,33.82413691985233,118520.05883680782,115276.09000985064,119813.62382675876,67330.9302206228,12.10958586401082,11.810073720627363,8.453105241202254,174.51218428643384,66244.63760478425,64607.70913993395,257.5257202437316,4900848.927451782,28005.039661791736,867.5613952166692,91.3110697195058,1246.7975649683326,6986.090608619064,34491.74587570226,-2.4500574403489206,5024551.284841625,79605.25750159714,7767104.886880098,4779623.695391462,40900.56122169258,7715930.717819178,33.821774960329,184525.53333333333,3810.5666666666666,2696.9666666666667,84.93157712177484,80.25636659860622,11.532689794716443,95.7,782.3366666666667,81.86491470103145,186751.875,10.272816509009552,1.405311921359953,370.0,11.393073097216506
1995-06-01,11.14,11.14,11.14,10969.108333333,10969.108333333,13507.583333333,32366.0,51930.0,2902.9,81.4,86.3,19.7,19.4,80.1,71.0,81.4,19.7,80.1,86.3,19.4,71.0,78.4,18.6,80.1,79.4,16.0,80.1,60.9,15.7,80.1,60.9,15.7,80.1,75.4,18.8,71.0,85.7,18.0,71.0,50.6,15.3,71.0,50.6,15.3,71.0,86.3,81.4,19.4,19.7,71.0,80.1,72.733333333333,71.8,18.7,18.5,74.4,76.566666666667,72.2,73.866666666667,17.966666666667,17.816666666667,65.8,64.616666666667,73.308333333333,72.891666666667,18.6,18.583333333333,56.408333333333,56.241666666667,785.18583333333,770.94,770.94,785.18583333333,273569.0,475.1,118525.17307543752,115290.01199765057,119831.4417264923,67337.6650255851,12.129362112258391,11.8436567376102,8.482476537948315,174.46710751815007,66231.40876101241,64618.44102553168,257.4900002761806,4935880.002420869,27901.38650064679,867.1375597539418,90.01315469477238,1266.446567727187,6890.434246485031,34577.05352118313,-0.1287140445787325,4935880.007399424,80490.84113350982,7771841.48554316,4935879.998006026,40295.29088401966,7721315.021592934,33.80905071243324,118520.37807426097,115276.36492802264,119816.30839655056,67331.97062235916,12.080149484323892,11.811986675279016,8.625643743298582,175.30775515395968,66247.20054783556,64608.05473347292,257.5431872062208,4890318.764375191,28035.70010610957,867.6626320450407,91.6728572452113,1241.8922928411382,7011.738199715089,34470.62602706518,-3.123765534416052,5048554.168353301,79367.88689822685,7765984.49831224,4748671.758731721,41060.000153410736,7714535.071786478,33.81146064108139,185683.6,3922.2,2722.7,84.50313747948525,75.77471180048136,11.39574630406661,95.7,785.1858333333333,81.86491470103145,186751.875,10.272816509009552,3.779584804012004,370.0,11.207245587611778
1995-07-01,11.14,11.14,11.14,11087.05,11087.05,13507.583333333,32366.0,51930.0,2976.8,87.5,78.7,19.7,18.4,80.1,71.0,87.5,19.7,80.1,78.7,18.4,71.0,81.4,19.7,80.1,55.6,17.2,80.1,60.9,15.7,80.1,60.9,15.7,80.1,86.3,19.4,71.0,56.5,17.9,71.0,50.6,15.3,71.0,50.6,15.3,71.0,78.7,87.5,18.4,19.7,71.0,80.1,80.133333333333,82.433333333333,18.866666666667,19.333333333333,74.4,76.566666666667,72.2,73.866666666667,17.966666666667,17.816666666667,65.8,64.616666666667,73.308333333333,72.891666666667,18.6,18.583333333333,56.408333333333,56.241666666667,788.035,770.94,770.94,788.035,273569.0,483.9,118525.031410297,115290.0462674267,119831.99230248312,67337.89194619865,12.11140534925387,11.861168994255896,8.692202798935142,174.67567483464722,66231.35283773286,64618.45412353148,257.4669502114595,4935879.993023675,27901.37247496044,867.1167966346288,90.01122108377511,1266.4546306604118,6890.444908429055,34577.04544616864,-0.107839034729119,4935879.990231512,80490.86265182574,7771841.427436,4935880.002632388,40295.29980270352,7721314.937774153,33.79506966743345,118517.27919121824,115274.0851531445,119818.32279890524,67332.61835284634,12.027744692006562,11.796098752442404,8.646774891777392,176.73002204545,66247.89254541654,64606.20218743955,257.5885814806469,4880542.869172347,28063.328880069443,867.7516984146065,92.02350909182658,1236.757549305755,7036.902539793438,34448.81216667461,-3.807723989426015,5072214.901016571,79135.82018551475,7764749.718499302,4719177.32057667,41218.01691477241,7713122.50278799,33.80192482705769,186985.4333333333,3957.3,2798.2,79.22048393865582,77.04120668465077,11.422187516454834,95.7,788.0350000000001,79.93839418931432,186751.875,10.272816509009552,-9.357009820069422,370.0,10.973405949246407
1995-08-01,11.14,11.14,11.14,11204.991666667,11204.991666667,13507.583333333,32366.0,51930.0,2999.1666666667,74.4,78.0,18.5,17.5,80.1,71.0,74.4,18.5,80.1,78.0,17.5,71.0,87.5,19.7,80.1,78.4,18.6,80.1,60.9,15.7,80.1,60.9,15.7,80.1,78.7,18.4,71.0,75.4,18.8,71.0,50.6,15.3,71.0,50.6,15.3,71.0,78.0,74.4,17.5,18.5,71.0,80.1,81.0,81.1,18.433333333333,19.3,74.4,76.566666666667,76.766666666667,76.116666666667,18.333333333333,18.283333333333,65.8,64.616666666667,73.308333333333,72.891666666667,18.6,18.583333333333,56.408333333333,56.241666666667,790.88416666667,770.94,770.94,790.88416666667,273569.0,488.76666666667,118524.54101630706,115290.16461551178,119833.9017472655,67338.67464865524,12.090700603312458,11.876387092728438,8.900488273115906,175.24071003375465,66231.16074174494,64618.49883966362,257.4509351456628,4935879.984071191,27901.358545085262,867.0961409271762,90.00929625150613,1266.4626519313854,6890.455497532828,34577.03741284736,-0.0871067315783436,4935879.973834653,80490.88411364045,7771841.372500182,4935880.007050969,40295.30867534864,7721314.857921983,33.78125297348425,118520.4424795012,115282.52164105642,119829.66191588066,67337.08785659316,12.015443896610783,11.800728416589974,8.972828980508623,176.9193950858087,66240.25948991584,64612.60197719711,257.5129965953974,4890599.663881209,28032.47428462324,867.6232648464347,91.63392812970004,1243.3645112105391,7006.171020858711,34478.17965035639,-3.110223714188413,5044121.923698495,79421.53501996226,7766426.22167856,4800933.741693863,41020.02922931172,7714895.369170194,33.78638803850299,188287.26666666663,3992.4,2873.7,76.53613527878382,73.46415386347991,11.496891227004122,95.7,790.8841666666667,77.65728986536148,186751.875,10.272816509009552,-8.39544184299102,405.0999999999999,11.532689794716443
1995-09-01,11.14,11.14,11.14,11322.933333333,11322.933333333,13507.583333333,32366.0,51930.0,3021.5333333333,68.0,69.0,19.2,17.1,80.1,71.0,68.0,19.2,80.1,69.0,17.1,71.0,74.4,18.5,80.1,81.4,19.7,80.1,79.4,16.0,80.1,60.9,15.7,80.1,78.0,17.5,71.0,86.3,19.4,71.0,85.7,18.0,71.0,50.6,15.3,71.0,69.0,68.0,17.1,19.2,71.0,80.1,75.233333333333,76.633333333333,17.666666666667,19.133333333333,74.4,76.566666666667,73.983333333333,74.216666666667,18.183333333333,18.816666666667,65.8,64.616666666667,73.308333333333,72.891666666667,18.6,18.583333333333,56.408333333333,56.241666666667,793.73333333333,770.94,770.94,793.73333333333,273569.0,493.63333333333,118523.7593402585,115290.35318155984,119836.94633772314,67339.92148538317,12.067858872369817,11.888731650028044,9.10033152147525,176.099025644681,66230.85495598883,64618.569943793926,257.4422949643364,4935879.975869189,27901.345179768647,867.0762869183018,90.00744486777094,1266.4703619275306,6890.465657467464,34577.02969123616,-0.0672147900601572,4935879.958768873,80490.90479888844,7771841.322611763,4935880.011110853,40295.31720372694,7721314.784763791,33.7680681146051,118522.81088886329,115288.94527544663,119839.36086733952,67340.9133346527,11.993238174953763,11.813009407763325,9.16960912531766,177.3950539671465,66235.03021489535,64617.52901449017,257.4814782548752,4905202.995387293,27989.56198815672,867.431189305768,91.08862319993604,1251.6640930417184,6966.134745494852,34514.05962176546,-2.1072903126622378,5006945.840249046,79792.02957741996,7768438.928089797,4863329.150040677,40766.42344989348,7717159.272829997,33.771086850753484,189589.1,4027.5,2949.2,77.88734874551596,73.02403899783027,11.64262875917878,95.7,793.7333333333333,75.81874279559104,186751.875,10.272816509009552,-6.615788733969282,440.1999999999998,11.39574630406661
1995-10-01,11.14,11.14,11.14,11440.875,11440.875,13507.583333333,32366.0,51930.0,3043.9,69.5,69.9,19.4,18.4,80.1,71.0,69.5,19.4,80.1,69.9,18.4,71.0,68.0,19.2,80.1,87.5,19.7,80.1,55.6,17.2,80.1,60.9,15.7,80.1,69.0,17.1,71.0,78.7,18.4,71.0,56.5,17.9,71.0,50.6,15.3,71.0,69.9,69.5,18.4,19.4,71.0,80.1,72.3,70.633333333333,17.666666666667,19.033333333333,74.4,76.566666666667,76.216666666667,76.533333333333,18.266666666667,19.183333333333,65.8,64.616666666667,73.308333333333,72.891666666667,18.6,18.583333333333,56.408333333333,56.241666666667,796.5825,770.94,770.94,796.5825,273569.0,498.5,118522.78111062098,115290.58911791036,119840.7570615432,67341.4814034877,12.043764670652088,11.897991072503796,9.28581163962428,177.1498967453825,66230.47251474878,64618.65882834423,257.4404256292073,4935879.9686273895,27901.332775499184,867.0578262839803,90.0057222015742,1266.477530876857,6890.475086834151,34577.02251145565,-0.0487533058150657,4935879.945423828,80490.92408689833,7771841.279000776,4935880.01470704,40295.32513367364,7721314.720170174,33.75590170518637,118522.74170356955,115294.64480674193,119849.04569129308,67344.60181385012,11.9696919222595,11.823279876237732,9.359171046024606,178.0638613986803,66225.72981853105,64621.62168698193,257.4408425059397,4931195.172115821,27912.936030335324,867.1184475854385,90.15182740853504,1265.144545915207,6898.545962587687,34572.53445333605,-0.356324677875407,4944080.522289351,80418.44789182619,7771611.514526528,4960413.373491059,40341.41131981822,7720905.298012217,33.756011619969286,190787.2,4061.5,2947.2666666666664,74.8492737583796,78.97969244234596,11.714319905040062,95.7,796.5825,76.42336173123242,186751.875,10.272816509009552,-4.371210180276222,362.5666666666671,11.422187516454834
