"계정항목별",1995.1/4,1995.2/4,1995.3/4,1995.4/4,1996.1/4,1996.2/4,1996.3/4,1996.4/4,1997.1/4,1997.2/4,1997.3/4,1997.4/4,1998.1/4,1998.2/4,1998.3/4,1998.4/4,1999.1/4,1999.2/4,1999.3/4,1999.4/4,2000.1/4,2000.2/4,2000.3/4,2000.4/4,2001.1/4,2001.2/4,2001.3/4,2001.4/4,2002.1/4,2002.2/4,2002.3/4,2002.4/4,2003.1/4,2003.2/4,2003.3/4,2003.4/4,2004.1/4,2004.2/4,2004.3/4,2004.4/4,2005.1/4,2005.2/4,2005.3/4,2005.4/4,2006.1/4,2006.2/4,2006.3/4,2006.4/4,2007.1/4,2007.2/4,2007.3/4,2007.4/4,2008.1/4,2008.2/4,2008.3/4,2008.4/4,2009.1/4,2009.2/4,2009.3/4,2009.4/4,2010.1/4,2010.2/4,2010.3/4,2010.4/4,2011.1/4,2011.2/4,2011.3/4,2011.4/4,2012.1/4,2012.2/4,2012.3/4,2012.4/4,2013.1/4,2013.2/4,2013.3/4,2013.4/4,2014.1/4,2014.2/4,2014.3/4,2014.4/4,2015.1/4,2015.2/4,2015.3/4,2015.4/4,2016.1/4,2016.2/4,2016.3/4,2016.4/4,2017.1/4,2017.2/4,2017.3/4,2017.4/4,2018.1/4,2018.2/4,2018.3/4,2018.4/4,2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4,2024.1/4,2024.2/4,2024.3/4,2024.4/4,2025.1/4,2025.2/4
"농림어업",6977.8,7079.3,6945.6,6743.6,6947.5,7201.9,7229.6,7444.8,7302.5,7560.9,7634.9,7566.5,7156.7,6805.7,6865.2,6959.3,7163.2,7380.6,7387.8,7291.1,7369.2,7242.6,7240.9,7413.7,7319.8,7311.1,7282.3,7460.8,7204.5,7016.2,7183.4,7053.7,6988.5,6734.7,6479.8,6507.1,7339.6,7112.1,7032.5,7298.1,7231.7,7304.8,7284.6,7136.7,7444.1,7330.4,7288.0,7589.6,7620.6,7906.8,7929.4,7715.0,8215.4,8382.7,8347.0,8281.9,8549.0,8564.7,8927.1,8718.2,8634.6,8406.9,8371.1,8083.4,8067.7,8342.3,8162.5,8576.8,8137.3,8257.6,8260.9,8329.5,8165.6,8420.8,8797.2,8990.2,8770.1,8952.7,9107.3,9298.0,9388.0,8698.0,9101.5,8848.8,8603.3,8369.5,8366.4,8326.8,8180.7,8622.3,8658.0,8625.7,8506.6,8594.3,8292.0,8429.8,8779.5,8814.1,8744.6,8470.5,8319.5,8086.7,7940.4,8135.0,8509.0,7992.1,8477.5,8619.9,8557.3,8300.0,8413.5,8595.5,8396.0,8525.8,8395.5,7922.6,8250.9,8412.4,8470.6,8318.8,8680.8,8579.4
"광공업",37767.3,38828.5,39485.0,40511.5,41656.5,42073.5,42897.1,43605.1,44011.2,46095.5,45763.4,44702.1,41358.5,40326.0,41474.0,43946.6,44730.9,49234.2,51657.1,53938.4,55804.6,56940.8,60034.6,58239.5,58754.4,59317.2,59568.6,60087.5,62218.7,64554.7,66080.4,66660.6,66125.9,66165.6,68182.6,71404.2,73507.4,75035.9,75023.5,75623.7,76009.1,77599.2,79482.3,80950.8,82940.8,83512.0,85925.7,85707.2,88400.7,90304.5,91646.8,94124.2,95609.8,96334.5,96598.3,87948.4,86662.7,89403.1,96998.0,97142.9,100676.1,104708.1,106856.6,109392.4,110903.0,110165.6,110741.8,111188.3,112122.6,112323.0,112678.7,113520.8,114742.4,116148.1,117177.7,118375.1,119675.3,121682.4,120168.5,120459.6,121715.0,122032.2,123053.8,123475.0,123402.5,125828.0,124428.0,126886.7,129672.5,129945.4,132166.2,129867.2,132299.3,134763.0,135915.3,136114.3,133641.5,135403.1,135992.1,136602.1,134955.5,125221.6,132666.8,137924.2,140972.8,141621.9,140492.8,142182.0,146748.5,145944.5,146099.0,140244.4,142428.2,145955.0,148402.3,150739.7,152084.4,153441.7,153425.7,153581.8,152650.3,156522.2
"광업",956.5,936.9,919.4,926.8,954.5,909.5,943.9,917.3,926.6,896.9,912.7,937.7,760.8,742.8,742.7,740.7,774.5,849.4,790.2,775.6,778.0,798.4,780.9,821.9,735.7,792.4,841.0,850.5,812.4,795.6,794.3,803.6,819.2,800.5,821.9,845.6,832.6,797.0,791.6,775.4,755.9,783.2,789.1,800.9,807.9,772.3,734.3,780.3,774.5,721.2,698.4,686.1,729.0,744.0,706.1,698.2,699.9,767.1,689.3,654.8,695.2,610.5,602.2,622.0,542.6,546.0,561.7,559.0,533.5,533.8,525.5,535.4,555.9,564.0,543.7,558.4,581.1,576.1,557.4,514.6,491.7,502.8,518.2,512.3,523.5,524.8,584.0,534.3,549.8,544.6,521.2,453.7,494.3,482.1,465.1,467.3,458.1,454.4,435.8,446.2,452.7,427.5,413.4,443.5,464.1,510.2,522.7,477.9,438.6,441.1,478.1,427.5,433.7,420.8,432.8,461.0,419.0,405.0,402.3,394.4,362.3,356.5
"제조업",37106.7,38176.0,38840.7,39859.9,40985.3,41426.7,42228.2,42949.2,43349.1,45444.7,45104.4,44031.6,40801.3,39782.2,40927.2,43394.8,44156.7,48604.0,51054.9,53338.5,55198.3,56319.5,59415.8,57600.8,58166.0,58693.4,58915.1,59427.0,61575.5,63915.3,65437.8,66011.0,65468.4,65519.7,67518.8,70718.5,72823.3,74368.7,74359.5,74967.5,75363.4,76933.3,78807.8,80265.5,82247.7,82841.6,85276.2,85027.4,87719.9,89656.4,91011.7,93492.9,94948.2,95661.1,95951.8,87319.9,86032.8,88718.4,96365.8,96537.2,100033.3,104123.0,106275.0,108792.9,110365.5,109626.0,110189.5,110637.6,111593.3,111793.3,112156.0,112988.9,114192.0,115589.7,116636.5,117820.5,119099.6,121110.5,119614.3,119944.2,121219.9,121526.8,122534.0,122960.5,122876.6,125300.6,123841.6,126349.8,129120.2,129398.4,131643.1,129412.4,131803.9,134280.2,135450.0,135646.8,133182.9,134948.4,135556.1,136155.7,134502.2,124793.2,132254.5,137481.1,140508.8,141111.8,139970.2,141704.1,146302.6,145496.6,145617.8,139810.8,141988.5,145526.9,147962.2,150272.5,151665.2,153040.1,153027.3,153192.9,152300.9,156182.5
"음식료품 제조업",3751.8,3851.6,3747.1,3822.2,3973.6,4010.3,3985.3,4059.4,4120.8,4144.0,4035.8,3979.8,3734.3,3727.0,3810.8,3891.2,3697.6,3879.4,3917.3,4097.4,4215.3,4171.5,4244.6,4167.9,4129.0,4264.3,4297.9,4120.5,4403.0,4447.7,4429.2,4437.7,4332.2,4305.6,4419.3,4411.3,4511.5,4475.7,4420.5,4454.4,4349.2,4446.2,4540.7,4487.7,4471.9,4448.9,4657.7,4474.2,4546.6,4612.3,4611.8,4642.8,4785.1,4795.4,4713.7,4579.4,4470.6,4558.0,4750.5,4657.5,4621.1,4582.9,4671.6,4746.9,4577.3,4602.9,4612.4,4691.3,4888.8,4967.5,5212.0,5005.6,5633.1,5462.1,5372.2,5503.4,5593.7,5630.1,5762.7,5726.2,5684.2,5751.0,5836.1,5867.8,5750.8,5875.6,5814.6,5892.5,5989.7,6099.3,6308.1,5971.8,6258.8,6287.7,6177.8,6450.1,6589.7,6706.9,6499.6,6593.1,6780.7,6770.2,6830.0,6796.1,6930.1,6893.4,7166.3,7577.5,7849.4,7812.6,8386.0,7910.7,7457.0,7691.7,7765.1,7789.1,7921.8,7853.3,7947.4,8092.9,8183.2,7898.3
"섬유 및 가죽제품 제조업",4097.6,3971.2,3957.2,4011.0,4024.6,4081.6,4004.6,3974.2,4130.7,4187.5,4123.9,4061.1,3708.9,3516.3,3523.4,3673.2,3998.2,4339.2,4570.0,4857.0,4651.3,4670.4,4785.3,4664.2,4715.4,4797.0,4734.8,4516.9,4861.4,5039.0,5031.1,4920.6,4605.4,4460.8,4514.3,4562.4,4359.4,4309.2,4330.9,4295.7,4323.5,4370.8,4347.1,4434.5,4551.3,4537.7,4619.3,4556.2,4618.2,4729.9,4663.6,4830.1,4924.0,4928.2,4953.5,4739.1,4490.1,4427.0,4694.0,4794.0,4995.1,5249.1,5050.3,5321.2,5299.2,5209.7,5101.7,5214.9,5554.0,5506.6,5494.6,5618.3,5636.2,5702.6,5856.0,5791.4,5730.7,5877.0,5924.8,5818.4,5428.1,5522.7,5471.9,5260.2,4905.1,4870.2,4855.6,4966.3,4950.2,4978.2,5019.1,4963.8,4904.1,4813.5,4553.6,4695.0,4653.2,4447.1,4250.0,4331.0,4585.3,3881.2,4298.1,4428.3,4418.4,3872.1,4149.1,4302.9,4434.3,4242.7,4158.1,3999.1,3669.1,3644.8,3620.4,3513.5,3836.4,3709.6,3675.9,3493.2,3727.7,3731.4
"목재, 종이, 인쇄 및 복제업",2553.4,2543.3,2572.9,2658.5,2630.5,2584.0,2561.2,2571.3,2748.5,2760.7,2681.0,2661.7,2370.1,2190.9,2334.5,2364.1,2563.5,2712.0,2764.9,2905.7,2868.4,2832.9,2795.0,2664.6,2644.8,2734.6,2755.9,2655.1,2870.3,2975.7,3027.9,2990.8,2944.1,2896.1,2924.4,2983.4,2833.5,2901.1,2871.5,2838.3,2809.1,2850.3,2940.0,2925.8,2961.4,2952.7,3013.3,3019.6,3008.6,2992.1,2954.4,3117.6,3174.2,3174.4,3145.3,2967.4,3003.3,3186.6,3479.2,3370.7,3363.2,3396.3,3359.6,3525.8,3560.8,3391.4,3415.0,3405.2,3437.4,3459.2,3543.0,3302.5,3321.7,3394.2,3470.9,3523.9,3550.8,3599.8,3553.5,3500.6,3499.7,3535.5,3497.7,3677.0,3779.0,3863.3,3770.7,3746.4,3716.4,3622.5,3534.8,3495.1,3574.7,3676.5,3604.7,3694.1,3521.6,3562.1,3601.7,3667.1,3637.9,3454.5,3553.9,3567.8,3633.2,3543.3,3582.3,3624.5,3594.5,3677.2,3617.6,3469.3,3255.7,3404.5,3389.8,3421.1,3423.0,3432.7,3392.0,3321.7,3286.3,3351.2
"코크스 및 석유정제품 제조업",3217.3,3398.6,3470.5,3426.9,3537.4,3799.5,4408.5,5155.2,6775.0,7977.4,8438.3,7985.8,7623.3,7346.8,7027.5,6824.5,6262.6,6678.3,6693.3,6352.2,6051.7,6050.1,6309.1,5975.3,6121.4,6194.6,5814.0,5753.7,5362.1,5376.9,5652.1,5671.1,5846.9,5687.9,5484.6,5633.8,6400.9,6551.5,6270.9,6501.3,6099.7,5974.6,6141.8,6097.4,5954.8,5834.6,6564.0,5815.7,5225.6,5467.9,5517.8,5474.2,5522.9,5490.3,5722.3,4914.9,5356.9,4576.6,4407.2,3864.4,4519.8,4397.3,4413.1,4703.7,4548.4,4740.4,4793.1,4665.4,4189.8,4097.9,4246.5,4070.8,4488.2,3848.5,3785.5,3807.2,4168.1,3975.8,3990.2,4002.5,4334.2,4042.8,3860.7,3812.9,4317.2,4137.7,3915.5,3820.7,4063.4,3814.7,4004.6,3922.8,3676.8,3617.1,3465.1,3375.5,3001.4,2757.3,2754.4,2648.7,725.2,645.4,620.0,781.9,2036.6,2624.4,2281.8,1232.0,2317.6,2545.3,2542.1,1612.9,2017.0,2303.4,2161.1,2169.5,2213.4,2368.3,2368.2,2090.1,2090.4,2271.9
"화학물질 및 화학제품 제조업",7249.6,7363.9,7365.3,7435.7,7662.2,7816.1,7900.6,7903.6,8133.4,8264.9,8180.5,7991.3,7885.5,7813.9,8057.3,8709.8,8649.1,9212.8,9764.8,10066.3,9878.1,10003.2,10369.7,10256.9,10589.0,11042.2,11072.3,11010.0,11746.6,12117.8,12258.7,12345.9,11832.5,11894.5,12222.4,12683.8,13179.7,13376.7,13528.0,13547.6,13398.9,13441.8,13971.6,13998.4,14210.1,14281.0,14500.1,14659.4,15047.7,15299.8,15480.1,15867.9,16116.6,16213.0,16113.3,14391.9,14889.5,16069.4,17365.6,16858.6,17700.8,18010.4,18448.6,19317.1,19561.0,18819.8,18612.7,18422.0,19244.9,18537.1,18768.5,18746.2,18827.2,19680.9,19907.3,20054.7,19432.4,19953.5,20032.2,20237.8,20675.9,20459.5,20708.0,20842.6,20522.5,21257.4,21418.7,21524.2,21498.9,21737.7,22438.9,22023.3,21909.6,22504.5,22521.5,22348.8,22348.9,22044.7,22180.5,22248.0,22375.9,20844.6,22976.8,23004.4,22464.8,22171.1,23168.6,23433.0,24100.7,23391.6,22358.8,22387.2,23368.8,23363.4,22544.2,23743.1,24475.4,25172.4,23636.7,24806.8,24246.7,24702.7
"비금속광물제품 제조업",1624.1,1606.8,1524.3,1681.6,1718.7,1796.0,1867.9,1833.4,1866.8,1787.1,1720.1,1721.2,1440.6,1326.5,1359.8,1395.4,1481.2,1680.0,1780.7,1822.4,1822.3,1900.5,1923.8,1972.9,1900.2,2038.5,2113.1,2018.7,2027.5,2041.9,2063.3,2111.9,2124.0,2123.9,2209.1,2254.9,2258.4,2222.3,2187.7,2187.7,2117.8,2270.8,2206.7,2218.2,2255.9,2226.6,2317.8,2284.3,2287.9,2353.4,2337.4,2494.4,2525.6,2479.3,2542.9,2295.9,2330.8,2415.9,2630.7,2571.1,2717.5,2717.9,2642.4,2633.7,2734.8,2665.9,2601.3,2717.7,2719.1,2591.3,2535.7,2555.9,2690.9,2785.0,2770.6,2760.9,2616.0,2717.9,2859.6,2784.6,2715.9,2885.8,3025.1,2956.7,2876.2,3056.5,3089.7,3162.9,3465.3,3383.9,3395.0,3280.2,3358.6,3431.4,3329.6,3410.5,3190.2,3250.9,3153.4,3191.1,3031.6,2932.8,3056.0,3297.0,3056.9,3067.6,3187.3,3023.4,3076.9,2884.0,3054.4,2803.6,2878.0,2695.3,2612.8,2647.9,2772.7,2712.0,2562.8,2581.0,2403.7,2471.8
