"특성별(1)",특성별(2),2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023
"특성별(1)",특성별(2),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원)
"특성별(1)",특성별(2),소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업
"전체",소계,2979,42.8,57.2,4935880,1659.4,3881.0,3558,44.0,56.0,6195055,1744.1,3976.5,4014,37.4,62.6,7245303,1810.7,4861.1,4468,38.5,61.5,8042205,1800.0,4681.2,4635,39.4,60.6,7822368,1687.7,4288.7,5007,35.5,64.5,7721315,1542.1,4348.4,5526,35.5,64.5,8444266,1528.1,4305.9,5480,35.1,64.9,9410170,1717.2,4894.7,5576,33.0,67.0,9602772,1722.2,5219.9
"기업유형별",일반 중견기업,2379,44.9,55.1,4683795,1972.5,4403.3,2885,46.0,54.0,5958678,2069.7,4506.0,1795,53.8,46.2,6655856,3734.1,6980.7,2123,54.2,45.8,7428871,3499.2,6457.6,2228,55.1,44.9,7379716,3312.3,6012.2,2331,50.2,49.8,7323873,3141.9,6259.9,2408,52.1,47.9,7664196,3182.8,6114.2,2581,50.3,49.7,8606613,3334.6,6628.2,2603,45.8,54.2,8947178,3437.3,7509.3
"기업유형별",피출자/관계기업,600,34.7,65.3,252086,420.1,1211.4,673,35.0,65.0,236377,351.2,1003.6,2219,24.2,75.8,589446,265.6,1097.7,2345,24.2,75.8,613335,261.6,1080.6,2407,24.8,75.2,442651,183.9,742.1,2676,22.6,77.4,397442,148.5,656.2,3118,22.7,77.3,780070,250.2,1102.5,2899,21.5,78.5,803557,277.2,1287.7,2973,21.8,78.2,655594,220.5,1011.5
"업종별",제조업,1331,72.1,27.9,4086901,3075.7,4271.2,1488,72.6,27.4,5318817,3581.9,4935.8,1552,67.9,32.1,6451672,4190.9,6193.9,1743,72.3,27.7,6470760,3712.4,5132.8,1814,69.4,30.6,6855093,3779.0,5449.0,1928,66.8,33.2,6910363,3584.2,5362.3,1977,71.8,28.2,7194782,3639.2,5066.9,1989,68.4,31.6,7945844,3994.9,5843.4,1980,64.0,36.0,7942396,4011.3,6268.6
"업종별",비제조업,1648,19.2,80.8,848979,515.8,2695.6,2070,23.3,76.7,876237,423.9,1824.3,2462,18.2,81.8,793631,322.4,1768.1,2725,16.8,83.2,1571446,576.7,3436.2,2821,20.1,79.9,967275,342.9,1709.3,3079,15.8,84.2,810953,263.4,1665.3,3549,15.2,84.8,1249484,352.1,2309.1,3491,16.1,83.9,1464325,419.5,2602.2,3596,15.9,84.1,1660376,461.7,2899.6
"세부업종별",식음료품업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,195,57.8,42.2,283061,1451.6,2511.9,199,55.2,44.8,282656,1420.4,2573.3
"세부업종별",화학물질제품 섬유업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,192,74.9,25.1,439054,2286.7,3051.1,198,65.3,34.7,553762,2796.8,4280.1
