"권리별(1)",권리별(2),2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023
"권리별(1)",권리별(2),계,계,계,개인,개인,법인,법인,계,계,계,개인,개인,법인,법인,계,계,계,개인,개인,법인,법인,계,개인,개인,개인,법인,법인,법인,계,개인,개인,개인,법인,법인,법인,계,개인,개인,개인,법인,법인,법인,계,개인,개인,개인,법인,법인,법인,계,개인,개인,개인,법인,법인,법인,계,개인,개인,개인,법인,법인,법인,계,개인,개인,개인,법인,법인,법인,계,개인,개인,개인,법인,법인,법인,계,개인,개인,개인,법인,법인,법인,계,개인,개인,개인,법인,법인,법인,계,개인,개인,개인,법인,법인,법인,계,개인,개인,개인,법인,법인,법인,계,개인,개인,개인,법인,법인,법인,계,개인,개인,개인,법인,법인,법인,계,개인,개인,개인,법인,법인,법인,계,개인,개인,개인,법인,법인,법인,계,개인,개인,개인,법인,법인,법인
"권리별(1)",권리별(2),소계,내국인,외국인,내국인,외국인,내국인,외국인,소계,내국인,외국인,내국인,외국인,내국인,외국인,소계,내국인,외국인,내국인,외국인,내국인,외국인,소계,소계,내국인,외국인,소계,내국인,외국인,소계,소계,내국인,외국인,소계,내국인,외국인,소계,소계,내국인,외국인,소계,내국인,외국인,소계,소계,내국인,외국인,소계,내국인,외국인,소계,소계,내국인,외국인,소계,내국인,외국인,소계,소계,내국인,외국인,소계,내국인,외국인,소계,소계,내국인,외국인,소계,내국인,외국인,소계,소계,내국인,외국인,소계,내국인,외국인,소계,소계,내국인,외국인,소계,내국인,외국인,소계,소계,내국인,외국인,소계,내국인,외국인,소계,소계,내국인,외국인,소계,내국인,외국인,소계,소계,내국인,외국인,소계,내국인,외국인,소계,소계,내국인,외국인,소계,내국인,외국인,소계,소계,내국인,외국인,소계,내국인,외국인,소계,소계,내국인,외국인,소계,내국인,외국인,소계,소계,내국인,외국인,소계,내국인,외국인,소계,소계,내국인,외국인,소계,내국인,외국인
"계",출원서기준,327516,272393,55123,107917,1686,164476,53437,359207,300075,59132,113504,1941,186571,57191,372520,311231,61289,119917,1969,191314,59320,380203,120986,118901,2085,259217,193457,65760,372697,117849,115623,2226,254848,188735,66113,364990,122846,120724,2122,242144,186497,55647,362074,117283,115245,2038,244791,190250,54541,371116,126864,124308,2556,244252,190575,53677,396996,131645,129302,2343,265351,210561,54790,430164,143712,141067,2645,286452,227707,58745,434047,149161,146330,2831,284886,225332,59554,462243,161676,158546,3130,300567,241117,59450,451622,154935,151480,3455,296687,237926,58761,442668,154659,151542,3117,288009,228671,59338,465015,165559,161984,3575,299456,235584,63872,493531,177366,173767,3599,316165,252874,63291,542029,198350,194845,3505,343679,283221,60458,576075,206111,202063,4048,369964,303449,66515,538418,181852,177713,4139,356566,288458,68108,540924,184304,180284,4020,356620,290382,66238
"계",상품류기준,368066,301909,66157,117256,1850,184653,64307,400981,331604,69377,122949,2161,208655,67216,416408,344025,72383,128774,2161,215251,70222,429472,131124,128733,2391,298348,220144,78204,425160,129109,126617,2492,296051,216666,79385,402886,132867,130432,2435,270019,204095,65924,396145,126861,124629,2232,269284,205731,63553,400326,136596,133604,2992,263730,203056,60674,427255,141257,138519,2738,285998,223291,62707,463296,155288,152311,2977,308008,241673,66335,470877,163824,160555,3269,307053,239574,67479,504152,178082,174560,3522,326070,258349,67721,487346,167702,163910,3792,319644,253128,66516,479109,166491,163072,3419,312618,243987,68631,513767,185769,181758,4011,327998,254543,73455,543369,199467,195411,4056,343902,270877,73025,590642,218457,214581,3876,372185,303738,68447,630560,227869,223403,4466,402691,327271,75420,588885,201731,197186,4545,387154,310481,76673,587526,203883,199483,4400,383643,309899,73744
"특허",소계,140115,105250,34865,21220,884,84030,33981,160921,122188,38733,23391,977,98797,37756,166189,125476,40713,26095,967,99381,39746,172469,32189,31105,1084,140280,97596,42684,170632,33443,32380,1063,137189,94734,42455,163523,35588,34678,910,127935,92638,35297,170101,33267,32298,969,136834,99507,37327,178924,35424,34235,1189,143500,103799,39701,188915,36940,36072,868,151975,112064,39911,204589,38356,37358,998,166233,122620,43613,210292,39041,38047,994,171251,126026,45225,213694,41972,40916,1056,171722,126357,45365,208830,40878,39759,1119,167952,123665,44287,204775,41671,40512,1159,163104,118519,44585,209992,42487,41369,1118,167505,121192,46313,218975,44552,43438,1114,174423,128165,46258,226759,44696,43743,953,182063,136734,45329,237998,42043,41066,977,195955,145179,50776,237633,36049,35079,970,201584,148669,52915,243310,34187,33360,827,209123,157782,51341
"실용신안",소계,37753,37167,586,25475,220,11692,366,37175,36534,641,24756,275,11778,366,32908,32193,715,21927,277,10266,438,21084,14036,13849,187,7048,6783,265,17405,11329,11163,166,6076,5808,268,17144,11623,11488,135,5521,5313,208,13661,9047,8877,170,4614,4316,298,11854,7655,7508,147,4199,3954,245,12424,7283,7100,183,5141,4799,342,10968,6527,6391,136,4441,4072,369,9184,5798,5675,123,3386,3079,307,8711,5466,5331,135,3245,2963,282,7767,4914,4802,112,2853,2593,260,6809,4618,4510,108,2191,1939,252,6232,4151,4064,87,2081,1704,377,5447,3590,3490,100,1857,1485,372,4981,3311,3229,82,1670,1366,304,4009,2544,2477,67,1465,1165,300,3084,1857,1814,43,1227,970,257,2746,1607,1547,60,1139,853,286
"디자인",출원서기준,41184,38041,3143,20150,85,17891,3058,45222,41918,3304,21869,118,20049,3186,51039,48018,3021,26862,142,21156,2879,54362,26916,26732,184,27446,24136,3310,56750,28181,27814,367,28569,24972,3597,57903,28075,27656,419,29828,27278,2550,57187,25455,25212,243,31732,28389,3343,56524,25949,25726,223,30575,27086,3489,63135,29516,29252,264,33619,30235,3384,66940,30714,30467,247,36226,32635,3591,64345,29663,29473,190,34682,31322,3360,67326,30897,30699,198,36429,33379,3050,64678,30227,29936,291,34451,31555,2896,62528,30139,29849,290,32389,29232,3157,62823,30056,29748,308,32767,28953,3814,64111,29615,29326,289,34496,30550,3946,66354,30954,30640,314,35400,32058,3342,63647,29105,28724,381,34542,31156,3386,55333,23728,23363,365,31605,28066,3539,53738,23030,22546,484,30708,27358,3350
"디자인",복수디자인기준,42879,39656,3223,20880,85,18776,3138,46615,43247,3368,22485,118,20762,3250,52879,49766,3113,27701,142,22065,2971,55662,27357,27169,188,28305,24886,3419,58912,28863,28496,367,30049,25782,4267,59537,28763,28340,423,30774,28051,2723,59204,26338,26092,246,32866,29277,3589,58571,26626,26310,316,31945,27990,3955,65469,30139,29846,293,35330,31021,4309,70054,31331,31062,269,38723,34423,4300,67586,30461,30251,210,37125,32825,4300,70199,31827,31613,214,38372,34277,4095,66736,30885,30569,316,35851,32049,3802,64986,31020,30703,317,33966,29672,4294,65434,30864,30531,333,34570,29492,5078,66637,30450,30143,307,36187,31060,5127,68695,31702,31358,344,36993,32581,4412,65922,29845,29447,398,36077,31728,4349,57845,24689,24306,383,33156,28509,4647,55833,23745,23253,492,32088,27812,4276
"상표",출원서기준,108464,91935,16529,41072,497,50863,16032,115889,99435,16454,43488,571,55947,15883,122384,105544,16840,45033,583,60511,16257,132288,47845,47215,630,84443,64942,19501,127910,44896,44266,630,83014,63221,19793,126420,47560,46902,658,78860,61268,17592,121125,49514,48858,656,71611,58038,13573,123814,57836,56839,997,65978,55736,10242,132522,57906,56878,1028,74616,63463,11153,147667,68115,66851,1264,79552,68380,11172,150226,74659,73135,1524,75567,64905,10662,172512,83341,81600,1741,89171,78418,10753,170347,78916,76983,1933,91431,80113,11318,168556,78231,76671,1560,90325,78981,11344,185968,88865,86803,2062,97103,83735,13368,204998,99609,97513,2096,105389,92674,12715,243935,119389,117233,2156,124546,113063,11483,270421,132419,129796,2623,138002,125949,12053,242368,120218,117457,2761,122150,110753,11397,241130,125480,122831,2649,115650,104389,11261
"상표",다류상표기준,147319,119836,27483,49681,661,70155,26822,156270,129635,26635,52317,791,77318,25844,164432,136590,27842,53051,775,83539,27067,180257,57542,56610,932,122715,90879,31836,178211,55474,54578,896,122737,90342,32395,162682,56893,55926,967,105789,78093,27696,153179,58209,57362,847,94970,72631,22339,150977,66891,65551,1340,84086,67313,16773,160447,66895,65501,1394,93552,75407,18145,177685,79074,77500,1574,98611,80558,18053,183815,88524,86582,1942,95291,77644,17647,211548,98817,96700,2117,112731,94752,17979,204013,91025,88780,2245,112988,94821,18167,202539,89182,87347,1835,113357,93857,19500,232109,108267,105794,2473,123842,102155,21687,252310,120875,118340,2535,131435,110167,21268,290207,138748,136251,2497,151459,133057,18402,322631,153437,150413,3024,169194,149199,19995,290323,139136,135987,3149,151187,132333,18854,285637,144344,141323,3021,141293,123452,17841
