"산업별(1)",2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"산업별(1)",전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업
"서비스업",34.4,56.7,32.5,33.8,55.1,31.7,33.2,59.6,30.7,33.7,46.2,32.3,33.0,59.0,30.5,32.0,57.1,29.5,31.2,53.8,28.8,31.1,54.4,28.8,34.5,55.1,32.1,31.9,57.1,29.0,32.0,58.0,28.9,33.5,61.2,30.2,33.6,61.7,30.3,39.5,63.4,36.4,34.0,66.6,29.9,36.6,69.3,32.3
"수도, 하수 및 폐기물 처리, 원료 재생업",48.6,61.1,47.4,50.2,57.2,49.4,51.9,57.8,51.3,55.6,65.1,54.6,56.9,65.0,56.2,58.0,62.8,57.5,54.0,65.6,53.0,53.3,62.8,52.5,53.1,56.7,52.8,47.6,50.9,47.3,47.4,45.3,47.5,46.3,42.2,46.7,42.1,44.3,42.0,43.2,42.5,43.3,42.7,40.8,42.9,41.7,42.5,41.6
"도매 및 소매업",38.6,103.4,36.5,36.7,85.0,34.7,36.1,97.4,33.5,36.8,-,36.8,37.7,101.0,35.3,37.1,95.9,35.0,36.3,94.7,34.1,36.3,96.0,34.2,40.5,92.9,38.2,37.3,103.3,34.5,38.7,99.6,35.9,39.6,102.5,36.7,41.1,118.4,37.8,51.4,154.8,46.6,42.1,117.7,38.9,47.7,153.2,43.4
"숙박 및 음식점업",23.3,71.3,22.6,22.2,62.6,21.6,21.0,52.0,20.5,20.7,-,20.7,19.0,62.2,18.4,17.5,60.1,16.8,15.3,47.2,14.8,15.4,47.1,14.9,17.2,36.7,16.9,15.7,37.6,15.4,14.2,34.6,13.9,14.4,36.3,14.1,14.4,38.3,14.1,14.7,17.9,14.6,15.5,29.7,15.3,16.1,38.8,15.9
"정보통신업",52.4,82.5,46.6,52.6,89.1,45.7,61.0,100.1,52.3,58.3,95.1,47.4,63.0,109.3,51.6,61.5,112.5,48.8,60.2,98.5,50.3,60.8,113.2,49.7,61.4,117.2,47.8,56.6,123.6,39.3,63.2,126.6,44.1,69.5,132.1,50.2,69.8,132.9,50.2,68.3,147.5,49.2,69.8,164.0,45.9,67.6,153.2,44.9
"부동산업",42.3,75.0,36.6,41.8,77.6,36.0,37.9,77.7,31.5,36.1,50.2,33.8,33.9,76.5,27.8,31.4,48.1,29.2,31.6,56.9,28.0,33.8,60.3,29.9,45.9,69.3,41.9,43.1,83.3,36.1,44.4,95.1,36.4,51.5,118.6,41.6,51.5,98.3,44.3,69.5,107.8,64.7,7.7,117.2,-4.4,29.3,115.3,19.9
"전문, 과학 및 기술 서비스업",67.5,109.9,64.4,63.3,81.5,60.8,63.7,96.7,59.7,53.3,-,53.3,54.4,84.8,50.8,53.4,102.6,47.0,51.4,84.7,47.3,50.2,88.5,45.7,50.0,59.7,47.9,50.3,92.8,45.0,48.0,84.6,43.1,45.9,79.6,41.3,43.2,73.3,39.2,46.4,56.0,44.5,47.8,73.0,42.8,47.5,75.4,41.4
"사업시설관리, 사업 지원 및 임대 서비스업",25.7,20.1,28.1,26.7,20.3,29.7,27.0,20.1,29.9,23.9,21.3,25.3,28.7,22.7,31.6,26.8,21.1,29.3,26.6,23.1,28.5,25.5,22.9,26.8,30.7,27.1,32.6,27.4,24.6,29.2,27.5,24.6,29.4,33.2,27.2,36.9,31.1,28.0,32.9,33.9,29.0,36.7,31.3,28.9,32.5,31.1,28.4,32.7
