"계정항목별",1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"대출평균 1) (연%)",11.21,11.83,15.18,9.40,8.55,7.70,6.70,6.24,5.90,5.59,5.99,6.55,7.17,5.65,5.51,5.76,5.40,4.64,4.26,3.53,3.37,3.48,3.66,3.45,2.80,2.88,4.29,5.19,4.73
"기업대출 (연리%)",10.98,11.75,15.20,8.91,8.18,7.49,6.50,6.17,5.92,5.65,6.08,6.60,7.17,5.65,5.56,5.86,5.49,4.74,4.39,3.69,3.48,3.49,3.66,3.54,2.84,2.81,4.22,5.28,4.85
"대기업대출 (연리%)",11.42,12.19,16.13,9.49,8.75,7.69,6.17,5.98,5.72,5.20,5.56,6.09,6.79,5.61,5.25,5.50,5.18,4.46,4.10,3.40,3.14,3.13,3.33,3.34,2.64,2.57,3.97,5.21,4.90
"중소기업대출 (연리%)",10.88,11.63,14.89,8.75,7.95,7.38,6.56,6.21,5.97,5.76,6.20,6.72,7.31,5.65,5.68,6.00,5.66,4.92,4.60,3.87,3.69,3.71,3.88,3.67,2.97,2.98,4.44,5.34,4.81
"운전자금대출 (연리%)",10.99,11.77,15.24,8.98,8.15,7.46,6.44,6.13,5.89,5.64,6.06,6.59,7.16,5.61,5.54,5.87,5.52,4.78,4.42,3.74,3.51,3.50,3.68,3.60,2.86,2.84,4.20,5.34,5.01
"시설자금대출 (연리%)",10.28,10.09,14.32,9.76,9.34,8.25,7.16,6.89,6.60,6.07,6.40,6.75,7.36,6.11,5.84,5.74,5.22,4.48,4.20,3.45,3.31,3.46,3.60,3.30,2.76,2.74,4.33,5.09,4.39
"상업어음할인 (연리%)",10.65,11.81,15.32,8.02,7.41,7.01,6.45,6.34,6.25,6.19,6.60,7.11,7.69,6.01,6.30,6.61,6.27,5.66,5.37,4.74,4.46,4.46,4.72,4.67,3.91,3.84,5.29,6.21,5.89
"기업일반자금대출 (연리%)",11.66,12.13,15.33,9.71,8.91,7.90,6.86,6.50,6.24,5.90,6.32,6.75,7.38,5.76,5.61,5.83,5.37,4.64,4.29,3.61,3.43,3.46,3.65,3.49,2.83,2.81,4.24,5.24,4.78
"가계대출 (연리%)",12.26,12.30,15.21,10.85,9.88,8.20,6.92,6.50,5.88,5.49,5.80,6.48,7.19,5.73,5.38,5.47,5.22,4.35,3.87,3.22,3.14,3.46,3.68,3.24,2.75,3.10,4.60,4.96,4.44
"소액대출 (500만원 이하) (연리%)",-,-,-,-,-,10.15,9.60,8.03,6.25,5.99,6.27,6.57,7.28,6.85,6.55,6.67,6.60,5.95,5.17,4.43,4.31,4.46,4.61,4.51,4.25,4.61,6.07,6.99,6.84
"주택담보대출 (연리%)",-,-,-,-,-,6.31,6.67,6.21,5.86,5.39,5.64,6.34,7.00,5.54,5.00,4.92,4.63,3.86,3.55,3.03,2.91,3.27,3.39,2.74,2.50,2.94,4.24,4.37,3.90
"고정형 주택담보대출 3) (연리%)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.98,3.53,3.06,2.90,3.31,3.45,2.69,2.48,2.97,4.26,4.32,3.88
"변동형 주택담보대출 3) (연리%)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.83,3.58,3.01,2.94,3.20,3.34,2.94,2.57,2.90,4.27,4.71,4.12
"예·적금담보대출 (연리%)",-,-,-,-,-,7.21,6.98,6.45,5.93,5.53,5.64,6.11,6.84,6.07,5.36,5.38,5.11,4.54,4.05,3.49,3.06,2.95,3.15,3.14,2.66,2.40,3.31,4.93,4.77
"보증대출 (연리%)",-,-,-,-,-,7.62,7.18,6.54,5.90,5.66,5.59,6.10,7.03,5.67,5.38,5.47,5.24,4.31,3.76,3.07,2.93,3.30,3.59,3.30,2.75,2.85,4.34,5.18,4.60
"전세자금대출 (연리%)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.15,3.00,3.18,3.24,3.07,2.55,2.78,4.02,4.31,4.03
"일반신용대출 2) (연리%)",-,-,-,-,-,-,-,-,-,6.32,6.89,7.46,8.44,7.09,7.19,7.82,7.43,6.28,5.45,4.55,4.40,4.34,4.49,4.17,3.26,4.06,6.27,6.62,6.04
"집단대출 2) (연리%)",-,-,-,-,-,-,-,-,-,4.94,5.43,5.88,6.48,5.01,4.83,4.96,4.77,3.94,3.57,3.03,2.93,3.23,3.44,2.99,2.60,3.26,4.54,4.33,3.88
"공공및기타부문대출 (연리%)",10.15,9.61,12.24,8.76,8.24,7.35,6.34,5.62,5.51,4.91,5.42,5.65,6.70,5.21,5.10,5.20,4.56,4.31,4.10,3.26,3.08,3.29,3.52,3.35,2.47,2.41,3.75,5.05,4.54
