"산업별(1)",2000,2000,2000,2001,2001,2001,2002,2002,2002,2003,2003,2003,2004,2004,2004,2005,2005,2005,2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
"산업별(1)",전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업,전체,대기업,중소기업
"제조업",124.2,210.6,88.5,128.1,226.5,90.7,135.0,247.9,94.8,138.8,251.0,99.3,148.2,272.0,102.6,153.3,277.6,108.5,163.2,296.9,114.0,171.3,325.0,117.4,191.5,375.7,125.7,176.8,345.5,117.8,183.6,377.7,118.4,191.8,390.1,121.8,187.6,376.6,121.3,181.1,367.0,119.2,180.1,356.6,122.6,175.1,330.0,123.0,174.8,341.0,121.5,182.9,352.7,127.7,185.4,359.6,125.1,196.6,394.6,130.5,194.1,372.4,134.6,216.5,429.7,143.2,226.7,454.3,143.7,213.7,422.5,138.5
"식료품 제조업",127.6,174.3,115.8,123.4,187.7,109.1,126.6,205.4,111.1,122.8,172.7,113.0,131.2,184.8,120.5,133.4,189.6,124.3,133.3,191.2,125.1,136.9,224.5,124.4,144.2,240.9,130.3,134.8,200.2,126.6,140.9,240.0,127.9,130.7,196.8,121.7,149.9,225.3,140.6,153.2,233.7,143.7,146.5,187.7,141.4,143.8,218.5,134.8,140.8,213.0,131.8,144.9,202.2,137.9,130.6,158.3,126.3,145.3,168.4,142.2,150.8,186.6,146.0,160.3,193.2,155.7,168.1,211.9,160.8,148.7,199.6,140.9
"음료 제조업",370.0,181.6,453.7,404.6,240.8,483.3,559.7,768.1,525.4,433.0,526.8,418.0,483.8,671.4,452.9,464.2,651.6,445.6,452.7,668.9,411.7,480.3,673.9,450.4,516.8,685.7,487.2,442.3,582.0,423.4,377.4,389.8,375.4,435.4,713.1,377.1,491.3,837.7,417.0,531.4,782.6,500.2,541.3,627.2,530.8,486.9,812.4,409.3,430.3,729.9,375.6,442.9,633.8,408.2,421.7,651.1,365.3,431.6,649.2,375.6,435.3,615.8,392.9,432.7,555.8,394.5,510.8,776.0,439.5,506.3,782.4,442.2
"담배 제조업",1154.7,1300.6,968.7,1336.6,1321.8,1352.5,1045.2,904.6,1334.0,1086.4,1166.6,989.1,1349.3,1372.5,1309.9,826.8,997.0,652.2,890.1,920.8,870.5,877.0,9382.3,800.6,801.0,961.7,686.8,867.4,813.3,922.2,894.0,1026.6,854.4,922.6,986.0,882.6,1164.0,1500.0,818.2,1127.8,1450.4,771.8,1172.9,1275.4,1057.2,1196.8,1466.2,895.8,1140.2,1105.0,1217.0,1105.3,1126.8,982.1,981.4,1028.5,658.4,950.1,977.0,797.2,827.2,683.2,1583.8,853.3,884.4,700.3,1031.3,1056.0,921.6,1031.7,1048.3,954.8
"섬유제품 제조업; 의복 제외",77.2,98.0,73.3,79.0,97.3,76.1,79.8,106.9,76.3,84.7,97.7,83.3,87.2,104.9,85.2,90.8,132.2,87.5,92.8,141.4,89.5,94.5,111.6,93.6,101.0,201.3,96.7,87.4,164.4,83.9,86.4,233.0,81.3,87.5,233.3,81.6,85.6,139.9,83.8,85.7,129.0,84.3,89.0,104.0,88.6,88.8,63.5,89.4,87.9,84.3,88.0,96.5,87.2,96.8,96.5,108.1,96.2,94.3,121.7,93.4,109.8,241.0,107.1,113.0,284.4,106.8,104.3,288.1,99.6,89.6,241.0,85.5
"의복, 의복액세서리 및 모피제품 제조업",46.5,99.4,41.8,52.4,128.0,47.9,62.1,165.1,54.8,71.8,131.4,63.8,82.6,202.6,68.6,95.9,252.5,77.3,109.4,261.3,88.3,116.1,307.8,90.7,132.5,501.3,93.6,134.9,378.2,100.0,140.4,418.4,99.4,148.6,505.5,111.5,143.6,425.0,116.3,149.7,386.8,124.7,144.4,347.1,121.6,149.0,421.8,116.6,132.9,362.7,109.1,149.9,409.5,124.9,139.4,466.1,113.7,137.8,332.0,110.4,145.8,405.2,116.9,175.9,508.0,142.0,203.2,714.8,151.0,171.1,441.8,144.7
"가죽, 가방 및 신발 제조업",59.5,66.0,58.9,70.5,43.2,72.5,63.2,134.1,56.4,68.2,134.1,61.4,71.2,77.1,70.7,73.2,76.4,72.8,78.2,96.7,75.7,82.2,74.3,83.1,103.0,250.9,91.9,89.0,109.7,87.4,106.6,279.6,99.7,117.8,443.4,111.1,114.8,-,114.8,110.8,-,110.8,115.4,-,115.4,120.8,60.1,122.1,98.3,29.4,99.4,97.7,-,97.7,112.6,-,112.6,121.7,404.8,102.0,102.9,90.4,103.2,110.0,-,110.0,122.2,94.8,122.9,104.4,-,104.4
"목재 및 나무제품 제조업; 가구 제외",69.7,80.2,67.4,76.3,79.7,75.5,73.5,79.3,72.3,73.7,75.8,73.3,85.8,79.8,86.6,82.9,78.0,83.4,86.7,108.8,84.9,96.1,121.1,93.2,99.5,159.5,93.3,93.4,140.9,88.9,88.9,138.5,86.4,84.8,64.6,85.8,90.0,164.1,87.8,79.8,76.3,80.0,89.3,133.7,87.9,97.9,145.8,94.8,111.2,158.1,109.0,123.5,184.6,119.6,111.4,193.0,107.8,117.5,168.1,116.5,115.5,207.0,111.9,111.2,118.1,110.9,89.6,107.8,88.6,89.9,67.8,91.0
